keyword,cluster,cluster_type,geo_scope,intent,vol,imp,clicks,ctr,kd_comp,source,action_plan,group,score,yoy,bid_high
thạnh phú,Biển Thạnh Phú - Cồn Bửng,Địa danh tham quan / Văn hóa - Lịch sử,In-scope Bến Tre,Informational,33100,N/A,N/A,N/A,Low (0),data/seo_insider/advance_search_report.csv,Viết guide/review; ưu tiên long-tail; tạo topic hub và internal link về trang dịch vụ,B,33100.0,N/A,N/A
du lịch biển thạnh phú,Biển Thạnh Phú - Cồn Bửng,Địa danh tham quan / Văn hóa - Lịch sử,In-scope Bến Tre,Informational,6600,N/A,N/A,N/A,Low (0),data/seo_insider/advance_search_report.csv,Viết guide/review; ưu tiên long-tail; tạo topic hub và internal link về trang dịch vụ,B,6600.0,N/A,N/A
tour cần thơ bến tre,Cần Thơ Trip,Di chuyển,Out-of-scope Cần Thơ,Commercial Investigation,50,N/A,N/A,N/A,Planner (Cao),data/google_planner/ben-tre/Keyword Stats 2026-02-23 at 11_23_00.csv,Viết bài top-list/so sánh; map vào cluster hub; bổ sung schema + ảnh/UGC,B,55.00000000000001,0%,"6,910"
tour cần thơ bến tre 1 ngày,Cần Thơ Trip,Di chuyển,Out-of-scope Cần Thơ,Transaction,50,N/A,N/A,N/A,Planner (Cao),data/google_planner/ben-tre/Keyword Stats 2026-02-23 at 11_23_00.csv,"Tạo landing chuyển đổi (giá/vé/đặt chỗ), gom vào cluster page + build backlink nội bộ",B,55.00000000000001,0%,"8,743"
tour bến tre cần thơ 2 ngày 1 đêm,Cần Thơ Trip,Di chuyển,Out-of-scope Cần Thơ,Transaction,50,N/A,N/A,N/A,Planner (Trung bình),data/google_planner/ben-tre/Keyword Stats 2026-02-23 at 11_23_00.csv,"Tạo landing chuyển đổi (giá/vé/đặt chỗ), gom vào cluster page + build backlink nội bộ",B,50.0,0%,0
du lịch cồn phụng bến tre,Cồn Phụng,Địa danh tham quan / Văn hóa - Lịch sử,In-scope Bến Tre,Informational,5000,N/A,N/A,N/A,Planner (Thấp),data/google_planner/ben-tre/Keyword Stats 2026-02-23 at 11_23_00.csv,Viết guide/review; ưu tiên long-tail; tạo topic hub và internal link về trang dịch vụ,B,5500.0,0%,"16,786"
cồn phụng tân thạch châu thành bến tre,Cồn Phụng,Địa danh tham quan / Văn hóa - Lịch sử,In-scope Bến Tre,Informational,500,N/A,N/A,N/A,Planner (Thấp),data/google_planner/ben-tre/Keyword Stats 2026-02-23 at 11_23_00.csv,Viết guide/review; ưu tiên long-tail; tạo topic hub và internal link về trang dịch vụ,B,500.0,0%,0
du lịch cồn phụng bến tre tự túc,Cồn Phụng,Địa danh tham quan / Văn hóa - Lịch sử,In-scope Bến Tre,Informational,50,N/A,N/A,N/A,Planner (Trung bình),data/google_planner/ben-tre/Keyword Stats 2026-02-23 at 11_23_00.csv,Viết guide/review; ưu tiên long-tail; tạo topic hub và internal link về trang dịch vụ,B,55.00000000000001,0%,"10,593"
khu du lịch cồn phụng ở bến tre,Cồn Phụng,Địa danh tham quan / Văn hóa - Lịch sử,In-scope Bến Tre,Informational,50,N/A,N/A,N/A,Planner (Trung bình),data/google_planner/ben-tre/Keyword Stats 2026-02-23 at 11_23_00.csv,Viết guide/review; ưu tiên long-tail; tạo topic hub và internal link về trang dịch vụ,B,55.00000000000001,0%,"10,854"
khu du lịch còn phụng bến tre,Cồn Phụng,Địa danh tham quan / Văn hóa - Lịch sử,In-scope Bến Tre,Informational,50,N/A,N/A,N/A,Planner (Không xác định),data/google_planner/ben-tre/Keyword Stats 2026-02-23 at 11_23_00.csv,Viết guide/review; ưu tiên long-tail; tạo topic hub và internal link về trang dịch vụ,B,50.0,-100.0%,0
du lịch cồn phụng bến tre 1 ngày,Cồn Phụng,Địa danh tham quan / Văn hóa - Lịch sử,In-scope Bến Tre,Informational,50,N/A,N/A,N/A,Planner (Không xác định),data/google_planner/ben-tre/Keyword Stats 2026-02-23 at 11_23_00.csv,Viết guide/review; ưu tiên long-tail; tạo topic hub và internal link về trang dịch vụ,B,50.0,-100.0%,0
giá vé du lịch cồn phụng bến tre,Cồn Phụng,Địa danh tham quan / Văn hóa - Lịch sử,In-scope Bến Tre,Transaction,50,N/A,N/A,N/A,Planner (Trung bình),data/google_planner/ben-tre/Keyword Stats 2026-02-23 at 11_23_00.csv,"Tạo landing chuyển đổi (giá/vé/đặt chỗ), gom vào cluster page + build backlink nội bộ",B,50.0,0%,0
khu du lịch cồn quy bến tre,Cồn Quy,Địa danh tham quan / Văn hóa - Lịch sử,In-scope Bến Tre,Informational,50,N/A,N/A,N/A,Planner (Thấp),data/google_planner/ben-tre/Keyword Stats 2026-02-23 at 11_23_00.csv,Viết guide/review; ưu tiên long-tail; tạo topic hub và internal link về trang dịch vụ,B,50.0,0%,0
cồn thới sơn bến tre,Cồn Thới Sơn,Địa danh tham quan / Văn hóa - Lịch sử,In-scope Bến Tre,Informational,50,N/A,N/A,N/A,Planner (Thấp),data/google_planner/ben-tre/Keyword Stats 2026-02-23 at 11_23_00.csv,Viết guide/review; ưu tiên long-tail; tạo topic hub và internal link về trang dịch vụ,B,55.00000000000001,0%,"7,686"
tour du lich bến tre,Di chuyển Bến Tre,Di chuyển,In-scope Bến Tre,Commercial Investigation,50,N/A,N/A,N/A,Planner (Trung bình),data/google_planner/ben-tre/Keyword Stats 2026-02-23 at 11_23_00.csv,Viết bài top-list/so sánh; map vào cluster hub; bổ sung schema + ảnh/UGC,B,55.00000000000001,0%,"13,145"
tour ben tre 1 ngay,Di chuyển Bến Tre,Di chuyển,In-scope Bến Tre,Transaction,50,N/A,N/A,N/A,Planner (Cao),data/google_planner/ben-tre/Keyword Stats 2026-02-23 at 11_23_00.csv,"Tạo landing chuyển đổi (giá/vé/đặt chỗ), gom vào cluster page + build backlink nội bộ",B,55.00000000000001,0%,"15,481"
tour ben tre,Di chuyển Bến Tre,Di chuyển,In-scope Bến Tre,Commercial Investigation,50,N/A,N/A,N/A,Planner (Cao),data/google_planner/ben-tre/Keyword Stats 2026-02-23 at 11_23_00.csv,Viết bài top-list/so sánh; map vào cluster hub; bổ sung schema + ảnh/UGC,B,55.00000000000001,0%,"19,477"
tour du lịch bến tre 1 ngày,Di chuyển Bến Tre,Di chuyển,In-scope Bến Tre,Transaction,50,N/A,N/A,N/A,Planner (Cao),data/google_planner/ben-tre/Keyword Stats 2026-02-23 at 11_23_00.csv,"Tạo landing chuyển đổi (giá/vé/đặt chỗ), gom vào cluster page + build backlink nội bộ",B,55.00000000000001,0%,"22,074"
tour bến tre 2 ngày 1 đêm,Di chuyển Bến Tre,Di chuyển,In-scope Bến Tre,Transaction,50,N/A,N/A,N/A,Planner (Cao),data/google_planner/ben-tre/Keyword Stats 2026-02-23 at 11_23_00.csv,"Tạo landing chuyển đổi (giá/vé/đặt chỗ), gom vào cluster page + build backlink nội bộ",B,55.00000000000001,0%,"11,723"
tour du lịch cồn phụng bến tre 1 ngày,Di chuyển Bến Tre,Di chuyển,In-scope Bến Tre,Transaction,50,N/A,N/A,N/A,Planner (Cao),data/google_planner/ben-tre/Keyword Stats 2026-02-23 at 11_23_00.csv,"Tạo landing chuyển đổi (giá/vé/đặt chỗ), gom vào cluster page + build backlink nội bộ",B,55.00000000000001,0%,"16,746"
tour du lịch bến tre 2 ngày 1 đêm,Di chuyển Bến Tre,Di chuyển,In-scope Bến Tre,Transaction,50,N/A,N/A,N/A,Planner (Cao),data/google_planner/ben-tre/Keyword Stats 2026-02-23 at 11_23_00.csv,"Tạo landing chuyển đổi (giá/vé/đặt chỗ), gom vào cluster page + build backlink nội bộ",B,55.00000000000001,0%,"8,553"
tour du lịch 4 cồn bến tre,Di chuyển Bến Tre,Di chuyển,In-scope Bến Tre,Commercial Investigation,50,N/A,N/A,N/A,Planner (Trung bình),data/google_planner/ben-tre/Keyword Stats 2026-02-23 at 11_23_00.csv,Viết bài top-list/so sánh; map vào cluster hub; bổ sung schema + ảnh/UGC,B,55.00000000000001,0%,"10,603"
tour 1 ngày bến tre,Di chuyển Bến Tre,Di chuyển,In-scope Bến Tre,Transaction,50,N/A,N/A,N/A,Planner (Cao),data/google_planner/ben-tre/Keyword Stats 2026-02-23 at 11_23_00.csv,"Tạo landing chuyển đổi (giá/vé/đặt chỗ), gom vào cluster page + build backlink nội bộ",B,55.00000000000001,0%,"9,457"
