keyword,search_volume,rank,difficulty,main_intent,cpc,etv,page,url
hồ hoàn kiếm,368000,65,15,commercial,$0.14,773,Hồ Hoàn Kiếm, Hà Nội,https://vietgoing.com/destination/248-ho-hoan-kiem.html
lăng chủ tịch hồ chí minh,246000,82,0,informational,$0.07,517,Lăng Chủ Tịch Hồ Chí Minh, Hà Nội,https://vietgoing.com/destination/835-lang-chu-tich-ho-chi-minh.html
khách sạn gần đây,201000,15,4,commercial,$0.30,1026,Top 10 khách sạn gần Phố Đi Bộ Hà Nội giá rẻ tiện nghi ...,https://vietgoing.com/top/122-top-10-khach-san-gan-pho-di-bo-ha-noi-gia-re-tien-nghi-nhat-hien-nay.html
cầu rồng,110000,92,0,informational,$0.07,231,Cầu Rồng Đà Nẵng,https://vietgoing.com/destination/140-cau-rong-da-nang.html
bãi sau,90500,62,0,informational,$0.13,191,Bãi Sau (Bãi Thùy Vân), Vũng Tàu,https://vietgoing.com/destination/508-bai-sau-bai-thuy-van.html
công viên hòa bình,90500,90,0,commercial,$0.07,191,Công viên, Khu vui chơi nổi tiếng ở Hòa Bình,https://vietgoing.com/destination/city-3-hoa-binh.html?type=C%C3%B4ng+vi%C3%AAn,+Khu+vui+ch%C6%A1i
nhà hát lớn hà nội,90500,51,4,informational,$0.14,191,Nhà Hát Lớn Hà Nội,https://vietgoing.com/destination/333-nha-hat-lon-ha-noi.html
sầm sơn,90500,66,9,commercial,$0.30,191,Biển Sầm Sơn, Thanh Hóa,https://vietgoing.com/destination/96-bien-sam-son.html
công viên yên sở,74000,44,0,informational,$0.05,156,Công viên Yên Sở, Hà Nội,https://vietgoing.com/destination/268-cong-vien-yen-so.html
hoàng thành thăng long,74000,59,5,informational,$0.09,156,Hoàng Thành Thăng Long, Hà Nội,https://vietgoing.com/destination/688-hoang-thanh-thang-long.html
chùa tam chúc,60500,53,6,commercial,$0.08,128,Chùa Tam Chúc, Hà Nam,https://vietgoing.com/destination/12-chua-tam-chuc.html
grand world phú quốc,60500,33,7,commercial,$0.36,128,Grand World Phú Quốc,https://vietgoing.com/destination/1026-grand-world-phu-quoc.html
hang múa,60500,51,0,commercial,$0.15,128,Hang Múa Ninh Bình giá mới nhất, giảm đến 30%,https://vietgoing.com/hotel/2059-hang-mua-ninh-binh.html
mũi né,60500,64,6,commercial,$0.50,128,Mũi Né, Phan Thiết,https://vietgoing.com/destination/306-mui-ne.html
vĩnh hy,60500,76,6,informational,$0.35,128,Vịnh Vĩnh Hy, Ninh Thuận,https://vietgoing.com/destination/302-vinh-vinh-hy.html
chùa thiên mụ,49500,78,3,informational,$0.06,104,Chùa Thiên Mụ Huế,https://vietgoing.com/destination/158-chua-thien-mu-hue.html
hồ hoàn kiếm hàng trống hoàn kiếm hà nội,49500,30,15,commercial,$0.15,104,Hồ Hoàn Kiếm, Hà Nội,https://vietgoing.com/destination/248-ho-hoan-kiem.html
long hải,49500,77,0,navigational,$0.42,104,Biển Long Hải, Vũng Tàu,https://vietgoing.com/destination/412-bien-long-hai.html
nông trại cún puppy farm,49500,75,0,commercial,$0.08,104,Trang Trại Cún - Nông Trại Cún - Puppy Farm, Đà Lạt,https://vietgoing.com/destination/638-trang-trai-cun-nong-trai-cun-puppy-farm.html
tà xùa,49500,65,0,commercial,$0.19,104,Tà Xùa, Sơn La,https://vietgoing.com/destination/263-ta-xua.html
bãi biển mỹ khê,40500,79,0,informational,$0.13,86,Bãi Biển Mỹ Khê, Đà Nẵng,https://vietgoing.com/destination/320-bai-bien-my-khe.html
bãi sau vũng tàu,40500,68,0,informational,$0.19,86,Bãi Sau (Bãi Thùy Vân), Vũng Tàu,https://vietgoing.com/destination/508-bai-sau-bai-thuy-van.html
bảo tàng quảng ninh,40500,77,0,navigational,$0.05,86,Bảo Tàng Quảng Ninh,https://vietgoing.com/destination/862-bao-tang-quang-ninh.html
chùa bà châu đốc,40500,54,0,informational,$0.05,86,Chùa Bà - Châu Đốc, An Giang,https://vietgoing.com/destination/927-chua-ba-chau-doc.html
chùa trấn quốc,40500,81,0,informational,$0.05,86,Chùa Trấn Quốc, Hà Nội,https://vietgoing.com/destination/332-chua-tran-quoc.html
hotel gần đây,40500,21,7,navigational,$0.19,94,Top 10 khách sạn gần sân bay Tân Sơn Nhất đẹp, giá rẻ ...,https://vietgoing.com/top/118-top-10-khach-san-gan-san-bay-tan-son-nhat-dep-gia-re-tien-nghi.html
hoàn kiếm,40500,85,6,commercial,$0.12,86,Hồ Hoàn Kiếm, Hà Nội,https://vietgoing.com/destination/248-ho-hoan-kiem.html
hồ tuyền lâm,40500,90,0,informational,$0.13,86,Hồ Tuyền Lâm, Đà Lạt,https://vietgoing.com/destination/380-ho-tuyen-lam.html
miếu bà chúa xứ núi sam,40500,63,0,informational,$0.09,86,Miếu Bà Chúa Xứ Núi Sam, An Giang,https://vietgoing.com/destination/589-mieu-ba-chua-xu-nui-sam.html
new world saigon hotel,40500,21,0,commercial,$0.96,94,Khách sạn New World Saigon Hotel Hồ Chí Minh,https://vietgoing.com/hotel/2823-new-world-saigon-hotel.html
núi cấm,40500,49,0,informational,--,86,Cẩm nang du lịch Núi Cẩm - An Giang từ A đến Z mới nhất,https://vietgoing.com/article/253-cam-nang-du-lich-nui-cam-an-giang-tu-a-den-z-moi-nhat.html
phú lộc,40500,59,0,informational,--,86,Địa điểm du lịch nổi tiếng ở Phú Lộc, Huế,https://vietgoing.com/destination/district-358-huyen-phu-loc.html
quảng trường lâm viên,40500,50,0,commercial,$0.06,86,Quảng Trường Lâm Viên, Đà Lạt,https://vietgoing.com/destination/254-quang-truong-lam-vien.html
tháp bà ponagar,40500,86,3,informational,$0.11,86,Tháp Bà Ponagar, Nha Trang,https://vietgoing.com/destination/179-thap-ba-ponagar.html
đin,40500,44,0,informational,$0.08,86,Đèo Pha Đin, Điện Biên,https://vietgoing.com/destination/270-deo-pha-din.html
đường bùi viện,40500,86,0,informational,$0.09,86,Phố Đi Bộ Bùi Viện, Hồ Chí Minh,https://vietgoing.com/destination/757-pho-di-bo-bui-vien.html
đền bà chúa kho,40500,32,0,informational,$0.03,86,Đền Bà Chúa Kho, Bắc Ninh,https://vietgoing.com/destination/11-den-ba-chua-kho.html
an thới,33100,37,0,informational,$0.75,70,Quần Đảo An Thới, Phú Quốc,https://vietgoing.com/destination/1054-quan-dao-an-thoi.html
biển mỹ khê,33100,80,0,informational,$0.58,70,Bãi Biển Mỹ Khê, Đà Nẵng,https://vietgoing.com/destination/320-bai-bien-my-khe.html
bãi trước,33100,39,5,informational,$0.08,70,Bãi Trước (Bãi Tầm Dương), Vũng Tàu,https://vietgoing.com/destination/1046-bai-truoc-bai-tam-duong.html
bến nhà rồng,33100,88,6,commercial,$0.09,70,Bến Nhà Rồng - Bảo Tàng Hồ Chí Minh,https://vietgoing.com/destination/679-ben-nha-rong-bao-tang-ho-chi-minh.html
centara mirage resort mũi né,33100,17,9,commercial,$0.53,143,Centara Mirage Resort Mũi Né Phan Thiết,https://vietgoing.com/hotel/495-centara-mirage-resort-mui-ne.html
chùa linh phước,33100,80,0,informational,$0.10,70,Chùa Linh Phước, Đà Lạt,https://vietgoing.com/destination/235-chua-linh-phuoc.html
