keyword,cluster,cluster_type,geo_scope,intent,vol,imp,clicks,ctr,kd_comp,source,action_plan,group,score,yoy,bid_high
b&h paris hotel cửa lò,B&H Paris Hotel Cửa Lò,Lưu trú,In-scope Cửa Lò,Commercial Investigation,50,N/A,N/A,N/A,Planner (Không xác định),data/google_planner/cua-lo/Keyword Stats 2026-02-23 at 01_27_42.csv,Viết bài top-list/so sánh; map vào cluster hub; bổ sung schema + ảnh/UGC,B,75.0,0%,0
khách sạn b&h paris cửa lò,B&H Paris Hotel Cửa Lò,Lưu trú,In-scope Cửa Lò,Commercial Investigation,50,N/A,N/A,N/A,Planner (Không xác định),data/google_planner/cua-lo/Keyword Stats 2026-02-23 at 01_27_42.csv,Viết bài top-list/so sánh; map vào cluster hub; bổ sung schema + ảnh/UGC,B,75.0,-100.0%,0
khách sạn bank star 2 cửa lò,Bank Star Hotel Cửa Lò,Lưu trú,In-scope Cửa Lò,Commercial Investigation,50,N/A,N/A,N/A,Planner (Không xác định),data/google_planner/cua-lo/Keyword Stats 2026-02-23 at 01_27_42.csv,Viết bài top-list/so sánh; map vào cluster hub; bổ sung schema + ảnh/UGC,B,75.0,0%,0
blue wave cua lo hotel,Blue Wave Hotel Cửa Lò,Lưu trú,In-scope Cửa Lò,Transaction,5000,N/A,N/A,N/A,Planner (Thấp),data/google_planner/cua-lo/Keyword Stats 2026-02-23 at 01_27_42.csv,"Tạo landing chuyển đổi (giá/vé/đặt chỗ), gom vào cluster page + build backlink nội bộ",B,14625.0,900.0%,"20,123"
khách sạn blue wave cửa lò,Blue Wave Hotel Cửa Lò,Lưu trú,In-scope Cửa Lò,Transaction,500,N/A,N/A,N/A,Planner (Trung bình),data/google_planner/cua-lo/Keyword Stats 2026-02-23 at 01_27_42.csv,"Tạo landing chuyển đổi (giá/vé/đặt chỗ), gom vào cluster page + build backlink nội bộ",B,990.0,0%,"6,610"
blue wave hotel cửa lò,Blue Wave Hotel Cửa Lò,Lưu trú,In-scope Cửa Lò,Commercial Investigation,50,N/A,N/A,N/A,Planner (Trung bình),data/google_planner/cua-lo/Keyword Stats 2026-02-23 at 01_27_42.csv,Viết bài top-list/so sánh; map vào cluster hub; bổ sung schema + ảnh/UGC,B,90.0,0%,0
số điện thoại khách sạn blue wave cửa lò,Blue Wave Hotel Cửa Lò,Lưu trú,In-scope Cửa Lò,Commercial Investigation,50,N/A,N/A,N/A,Planner (Không xác định),data/google_planner/cua-lo/Keyword Stats 2026-02-23 at 01_27_42.csv,Viết bài top-list/so sánh; map vào cluster hub; bổ sung schema + ảnh/UGC,B,75.0,0%,0
giá phòng khách sạn blue wave cửa lò,Blue Wave Hotel Cửa Lò,Lưu trú,In-scope Cửa Lò,Transaction,50,N/A,N/A,N/A,Planner (Cao),data/google_planner/cua-lo/Keyword Stats 2026-02-23 at 01_27_42.csv,"Tạo landing chuyển đổi (giá/vé/đặt chỗ), gom vào cluster page + build backlink nội bộ",B,60.0,0%,0
bãi lữ,Bãi Lữ Resort,Địa danh tham quan / Văn hóa - Lịch sử,In-scope Cửa Lò,Commercial Investigation,8100,N/A,N/A,N/A,Low (0),data/seo_insider/advance_search_report.csv,Viết bài top-list/so sánh; map vào cluster hub; bổ sung schema + ảnh/UGC,B,8100.0,N/A,N/A
bãi lữ cửa lò,Bãi Lữ Resort,Địa danh tham quan / Văn hóa - Lịch sử,In-scope Cửa Lò,Informational,50,N/A,N/A,N/A,Planner (Thấp),data/google_planner/cua-lo/Keyword Stats 2026-02-23 at 01_27_42.csv,Viết guide/review; ưu tiên long-tail; tạo topic hub và internal link về trang dịch vụ,B,75.0,0%,0
