keyword,cluster,cluster_type,geo_scope,intent,vol,imp,clicks,ctr,kd_comp,source,action_plan,group,score,yoy,bid_high
tour hồ chí minh miền tây,Bến xe Hồ Chí Minh,Di chuyển,In-scope Hồ Chí Minh,Commercial Investigation,50,N/A,N/A,N/A,Planner (Cao),data/google_planner/ho-chi-minh/Keyword Stats 2026-02-23 at 09_48_18.csv,Viết bài top-list/so sánh; map vào cluster hub; bổ sung schema + ảnh/UGC,B,55.00000000000001,0%,"18,490"
tour du lịch miền tây từ hồ chí minh,Bến xe Hồ Chí Minh,Di chuyển,In-scope Hồ Chí Minh,Commercial Investigation,50,N/A,N/A,N/A,Planner (Cao),data/google_planner/ho-chi-minh/Keyword Stats 2026-02-23 at 09_48_18.csv,Viết bài top-list/so sánh; map vào cluster hub; bổ sung schema + ảnh/UGC,B,55.00000000000001,0%,"33,961"
tour miền tây 1 ngày từ hồ chí minh,Bến xe Hồ Chí Minh,Di chuyển,In-scope Hồ Chí Minh,Transaction,50,N/A,N/A,N/A,Planner (Cao),data/google_planner/ho-chi-minh/Keyword Stats 2026-02-23 at 09_48_18.csv,"Tạo landing chuyển đổi (giá/vé/đặt chỗ), gom vào cluster page + build backlink nội bộ",B,55.00000000000001,0%,"34,367"
tour miền tây từ hồ chí minh,Bến xe Hồ Chí Minh,Di chuyển,In-scope Hồ Chí Minh,Commercial Investigation,50,N/A,N/A,N/A,Planner (Cao),data/google_planner/ho-chi-minh/Keyword Stats 2026-02-23 at 09_48_18.csv,Viết bài top-list/so sánh; map vào cluster hub; bổ sung schema + ảnh/UGC,B,55.00000000000001,0%,"24,289"
silverland ben thanh,Chợ Bến Thành,Địa danh tham quan / Văn hóa - Lịch sử,In-scope Hồ Chí Minh,Commercial Investigation,12100,N/A,N/A,N/A,Low (0),data/seo_insider/advance_search_report.csv,Viết bài top-list/so sánh; map vào cluster hub; bổ sung schema + ảnh/UGC,B,12100.0,N/A,N/A
cho ben thanh vietnam,Chợ Bến Thành,Địa danh tham quan / Văn hóa - Lịch sử,In-scope Hồ Chí Minh,Informational,5400,N/A,N/A,N/A,Low (14),data/seo_insider/advance_search_report.csv,Viết guide/review; ưu tiên long-tail; tạo topic hub và internal link về trang dịch vụ,B,4644.0,N/A,N/A
19c bùi thị xuân phường bến thành quận 1,Chợ Bến Thành,Địa danh tham quan / Văn hóa - Lịch sử,In-scope Hồ Chí Minh,Informational,50,N/A,N/A,N/A,Planner (Trung bình),data/google_planner/ho-chi-minh/Keyword Stats 2026-02-23 at 09_48_18.csv,Viết guide/review; ưu tiên long-tail; tạo topic hub và internal link về trang dịch vụ,B,55.00000000000001,0%,"9,830"
19c bùi thị xuân phường bến thành q1,Chợ Bến Thành,Địa danh tham quan / Văn hóa - Lịch sử,In-scope Hồ Chí Minh,Informational,50,N/A,N/A,N/A,Planner (Thấp),data/google_planner/ho-chi-minh/Keyword Stats 2026-02-23 at 09_48_18.csv,Viết guide/review; ưu tiên long-tail; tạo topic hub và internal link về trang dịch vụ,B,50.0,0%,0
chợ lớn quận 6,Chợ Lớn,Địa danh tham quan / Văn hóa - Lịch sử,In-scope Hồ Chí Minh,Informational,N/A,1915,11,0.57%,N/A (N/A),data/google_search_console/Queries.csv,"Cập nhật nội dung theo intent, bổ sung FAQ + schema, tối ưu title/meta để đẩy Top 1-3",A,11.0,N/A,N/A
tour đi cà mau từ hồ chí minh,Cà Mau Trip,Di chuyển,Out-of-scope Cà Mau,Commercial Investigation,50,N/A,N/A,N/A,Planner (Cao),data/google_planner/ho-chi-minh/Keyword Stats 2026-02-23 at 09_48_18.csv,Viết bài top-list/so sánh; map vào cluster hub; bổ sung schema + ảnh/UGC,B,55.00000000000001,0%,"23,323"
