keyword,cluster,cluster_type,geo_scope,intent,vol,imp,clicks,ctr,kd_comp,source,action_plan,group,score,yoy,bid_high
368 bãi cháy,Bãi Cháy,Địa danh tham quan / Văn hóa - Lịch sử,In-scope Hạ Long,Informational,N/A,173,23,13.29%,N/A (N/A),data/google_search_console/Queries.csv,"Cập nhật nội dung theo intent, bổ sung FAQ + schema, tối ưu title/meta để đẩy Top 1-3",A,23.0,N/A,N/A
muong thanh grand bãi cháy,Bãi Cháy,Địa danh tham quan / Văn hóa - Lịch sử,In-scope Hạ Long,Informational,5000,N/A,N/A,N/A,Planner (Thấp),data/google_planner/ha-long/Keyword Stats 2026-02-22 at 22_21_22.csv,Viết guide/review; ưu tiên long-tail; tạo topic hub và internal link về trang dịch vụ,B,5500.0,0%,"7,627"
muong thanh bãi cháy,Bãi Cháy,Địa danh tham quan / Văn hóa - Lịch sử,In-scope Hạ Long,Informational,500,N/A,N/A,N/A,Planner (Trung bình),data/google_planner/ha-long/Keyword Stats 2026-02-22 at 22_21_22.csv,Viết guide/review; ưu tiên long-tail; tạo topic hub và internal link về trang dịch vụ,B,550.0,0%,"10,060"
mường thanh bãi cháy hạ long,Bãi Cháy,Địa danh tham quan / Văn hóa - Lịch sử,In-scope Hạ Long,Informational,500,N/A,N/A,N/A,Planner (Thấp),data/google_planner/ha-long/Keyword Stats 2026-02-22 at 22_21_22.csv,Viết guide/review; ưu tiên long-tail; tạo topic hub và internal link về trang dịch vụ,B,550.0,0%,"14,931"
mườngthanh bãi cháy,Bãi Cháy,Địa danh tham quan / Văn hóa - Lịch sử,In-scope Hạ Long,Informational,500,N/A,N/A,N/A,Planner (Trung bình),data/google_planner/ha-long/Keyword Stats 2026-02-22 at 22_21_22.csv,Viết guide/review; ưu tiên long-tail; tạo topic hub và internal link về trang dịch vụ,B,550.0,0%,"10,060"
muong thanh grand bai chay ha long vietnam,Bãi Cháy,Địa danh tham quan / Văn hóa - Lịch sử,In-scope Hạ Long,Informational,500,N/A,N/A,N/A,Planner (Cao),data/google_planner/ha-long/Keyword Stats 2026-02-22 at 22_21_22.csv,Viết guide/review; ưu tiên long-tail; tạo topic hub và internal link về trang dịch vụ,B,500.0,0%,0
ks mường thanh bãi cháy,Bãi Cháy,Địa danh tham quan / Văn hóa - Lịch sử,In-scope Hạ Long,Informational,50,N/A,N/A,N/A,Planner (Trung bình),data/google_planner/ha-long/Keyword Stats 2026-02-22 at 22_21_22.csv,Viết guide/review; ưu tiên long-tail; tạo topic hub và internal link về trang dịch vụ,B,55.00000000000001,0%,"11,043"
mường thanh bãi cháy khai trương,Bãi Cháy,Địa danh tham quan / Văn hóa - Lịch sử,In-scope Hạ Long,Informational,50,N/A,N/A,N/A,Planner (Trung bình),data/google_planner/ha-long/Keyword Stats 2026-02-22 at 22_21_22.csv,Viết guide/review; ưu tiên long-tail; tạo topic hub và internal link về trang dịch vụ,B,55.00000000000001,0%,"17,892"
mường thanh luxury bãi cháy,Bãi Cháy,Địa danh tham quan / Văn hóa - Lịch sử,In-scope Hạ Long,Informational,50,N/A,N/A,N/A,Planner (Trung bình),data/google_planner/ha-long/Keyword Stats 2026-02-22 at 22_21_22.csv,Viết guide/review; ưu tiên long-tail; tạo topic hub và internal link về trang dịch vụ,B,55.00000000000001,0%,"12,097"
novotel bãi cháy,Bãi Cháy,Địa danh tham quan / Văn hóa - Lịch sử,In-scope Hạ Long,Informational,50,N/A,N/A,N/A,Planner (Trung bình),data/google_planner/ha-long/Keyword Stats 2026-02-22 at 22_21_22.csv,Viết guide/review; ưu tiên long-tail; tạo topic hub và internal link về trang dịch vụ,B,55.00000000000001,0%,"11,898"
wyndham bãi cháy,Bãi Cháy,Địa danh tham quan / Văn hóa - Lịch sử,In-scope Hạ Long,Informational,50,N/A,N/A,N/A,Planner (Cao),data/google_planner/ha-long/Keyword Stats 2026-02-22 at 22_21_22.csv,Viết guide/review; ưu tiên long-tail; tạo topic hub và internal link về trang dịch vụ,B,55.00000000000001,0%,"10,453"
đặt phòng bãi cháy,Bãi Cháy,Địa danh tham quan / Văn hóa - Lịch sử,In-scope Hạ Long,Informational,50,N/A,N/A,N/A,Planner (Cao),data/google_planner/ha-long/Keyword Stats 2026-02-22 at 22_21_22.csv,Viết guide/review; ưu tiên long-tail; tạo topic hub và internal link về trang dịch vụ,B,50.0,0%,0
agoda bãi cháy,Bãi Cháy,Địa danh tham quan / Văn hóa - Lịch sử,In-scope Hạ Long,Informational,50,N/A,N/A,N/A,Planner (Cao),data/google_planner/ha-long/Keyword Stats 2026-02-22 at 22_21_22.csv,Viết guide/review; ưu tiên long-tail; tạo topic hub và internal link về trang dịch vụ,B,50.0,0%,0
book phòng bãi cháy,Bãi Cháy,Địa danh tham quan / Văn hóa - Lịch sử,In-scope Hạ Long,Informational,50,N/A,N/A,N/A,Planner (Cao),data/google_planner/ha-long/Keyword Stats 2026-02-22 at 22_21_22.csv,Viết guide/review; ưu tiên long-tail; tạo topic hub và internal link về trang dịch vụ,B,50.0,0%,0
bể bơi bãi cháy,Bãi Cháy,Địa danh tham quan / Văn hóa - Lịch sử,In-scope Hạ Long,Informational,50,N/A,N/A,N/A,Planner (Không xác định),data/google_planner/ha-long/Keyword Stats 2026-02-22 at 22_21_22.csv,Viết guide/review; ưu tiên long-tail; tạo topic hub và internal link về trang dịch vụ,B,50.0,-100.0%,0
grand bãi cháy,Bãi Cháy,Địa danh tham quan / Văn hóa - Lịch sử,In-scope Hạ Long,Informational,50,N/A,N/A,N/A,Planner (Thấp),data/google_planner/ha-long/Keyword Stats 2026-02-22 at 22_21_22.csv,Viết guide/review; ưu tiên long-tail; tạo topic hub và internal link về trang dịch vụ,B,50.0,0%,0
ks công đoàn bãi cháy,Bãi Cháy,Địa danh tham quan / Văn hóa - Lịch sử,In-scope Hạ Long,Informational,50,N/A,N/A,N/A,Planner (Thấp),data/google_planner/ha-long/Keyword Stats 2026-02-22 at 22_21_22.csv,Viết guide/review; ưu tiên long-tail; tạo topic hub và internal link về trang dịch vụ,B,50.0,0%,0
mường thanh bãi cháy 4 sao,Bãi Cháy,Địa danh tham quan / Văn hóa - Lịch sử,In-scope Hạ Long,Informational,50,N/A,N/A,N/A,Planner (Không xác định),data/google_planner/ha-long/Keyword Stats 2026-02-22 at 22_21_22.csv,Viết guide/review; ưu tiên long-tail; tạo topic hub và internal link về trang dịch vụ,B,50.0,0%,0
mường thanh grand bãi cháy địa chỉ,Bãi Cháy,Địa danh tham quan / Văn hóa - Lịch sử,In-scope Hạ Long,Informational,50,N/A,N/A,N/A,Planner (Trung bình),data/google_planner/ha-long/Keyword Stats 2026-02-22 at 22_21_22.csv,Viết guide/review; ưu tiên long-tail; tạo topic hub và internal link về trang dịch vụ,B,50.0,0%,0
mường thanh suối mơ bãi cháy,Bãi Cháy,Địa danh tham quan / Văn hóa - Lịch sử,In-scope Hạ Long,Informational,50,N/A,N/A,N/A,Planner (Trung bình),data/google_planner/ha-long/Keyword Stats 2026-02-22 at 22_21_22.csv,Viết guide/review; ưu tiên long-tail; tạo topic hub và internal link về trang dịch vụ,B,50.0,0%,0
phòng nghỉ bãi cháy,Bãi Cháy,Địa danh tham quan / Văn hóa - Lịch sử,In-scope Hạ Long,Informational,50,N/A,N/A,N/A,Planner (Cao),data/google_planner/ha-long/Keyword Stats 2026-02-22 at 22_21_22.csv,Viết guide/review; ưu tiên long-tail; tạo topic hub và internal link về trang dịch vụ,B,50.0,0%,0
