keyword,cluster,cluster_type,geo_scope,intent,vol,imp,clicks,ctr,kd_comp,source,action_plan,group,score,yoy,bid_high
bãi sau,Bãi Sau,Địa danh tham quan / Văn hóa - Lịch sử,In-scope Vũng Tàu,Informational,90500,N/A,N/A,N/A,Low (0),data/seo_insider/advance_search_report.csv,Viết guide/review; ưu tiên long-tail; tạo topic hub và internal link về trang dịch vụ,B,90500.0,N/A,N/A
bãi trước,Bãi Trước,Địa danh tham quan / Văn hóa - Lịch sử,In-scope Vũng Tàu,Informational,33100,N/A,N/A,N/A,Low (5),data/seo_insider/advance_search_report.csv,Viết guide/review; ưu tiên long-tail; tạo topic hub và internal link về trang dịch vụ,B,31445.0,N/A,N/A
khách sạn bình dương vũng tàu,Bình Dương Trip,Lưu trú,Out-of-scope Bình Dương,Commercial Investigation,50,N/A,N/A,N/A,Planner (Thấp),data/google_planner/vung-tau/Keyword Stats 2026-02-23 at 10_37_35.csv,Viết bài top-list/so sánh; map vào cluster hub; bổ sung schema + ảnh/UGC,B,75.0,0%,0
tour bình dương vũng tàu,Bình Dương Trip,Di chuyển,Out-of-scope Bình Dương,Commercial Investigation,50,N/A,N/A,N/A,Planner (Thấp),data/google_planner/vung-tau/Keyword Stats 2026-02-23 at 10_37_35.csv,Viết bài top-list/so sánh; map vào cluster hub; bổ sung schema + ảnh/UGC,B,50.0,0%,0
tour du lịch bình dương vũng tàu,Bình Dương Trip,Di chuyển,Out-of-scope Bình Dương,Commercial Investigation,50,N/A,N/A,N/A,Planner (Thấp),data/google_planner/vung-tau/Keyword Stats 2026-02-23 at 10_37_35.csv,Viết bài top-list/so sánh; map vào cluster hub; bổ sung schema + ảnh/UGC,B,50.0,0%,0
khách sạn bình phước vũng tàu,Bình Phước Trip,Lưu trú,Out-of-scope Bình Phước,Commercial Investigation,50,N/A,N/A,N/A,Planner (Không xác định),data/google_planner/vung-tau/Keyword Stats 2026-02-23 at 10_37_35.csv,Viết bài top-list/so sánh; map vào cluster hub; bổ sung schema + ảnh/UGC,B,75.0,0%,0
tour bến tre vũng tàu,Bến Tre Trip,Di chuyển,Out-of-scope Bến Tre,Commercial Investigation,50,N/A,N/A,N/A,Planner (Thấp),data/google_planner/vung-tau/Keyword Stats 2026-02-23 at 10_37_35.csv,Viết bài top-list/so sánh; map vào cluster hub; bổ sung schema + ảnh/UGC,B,50.0,0%,0
tour du lịch bến tre vũng tàu,Bến Tre Trip,Di chuyển,Out-of-scope Bến Tre,Commercial Investigation,50,N/A,N/A,N/A,Planner (Không xác định),data/google_planner/vung-tau/Keyword Stats 2026-02-23 at 10_37_35.csv,Viết bài top-list/so sánh; map vào cluster hub; bổ sung schema + ảnh/UGC,B,50.0,-100.0%,0
khách sạn cao bằng vũng tàu,Cao Bằng Trip,Lưu trú,Out-of-scope Cao Bằng,Commercial Investigation,50,N/A,N/A,N/A,Planner (Không xác định),data/google_planner/vung-tau/Keyword Stats 2026-02-23 at 10_37_35.csv,Viết bài top-list/so sánh; map vào cluster hub; bổ sung schema + ảnh/UGC,B,75.0,0%,0
xe phương trang cà mau đi vũng tàu,Cà Mau Trip,Di chuyển,Out-of-scope Cà Mau,Commercial Investigation,50,N/A,N/A,N/A,Planner (Thấp),data/google_planner/vung-tau/Keyword Stats 2026-02-23 at 10_37_35.csv,Viết bài top-list/so sánh; map vào cluster hub; bổ sung schema + ảnh/UGC,B,55.00000000000001,0%,"2,955"
