keyword,cluster,cluster_type,geo_scope,intent,vol,imp,clicks,ctr,kd_comp,source,action_plan,group,score,yoy,bid_high
cầu vàng bà nà hill đà nẵng,Bà Nà Hills,Địa danh tham quan / Văn hóa - Lịch sử,In-scope Đà Nẵng,Informational,500,N/A,N/A,N/A,Planner (Thấp),data/google_planner/da-nang/Keyword Stats 2026-02-22 at 23_55_29.csv,Viết guide/review; ưu tiên long-tail; tạo topic hub và internal link về trang dịch vụ,B,650.0,900.0%,"3,963"
cầu vàng bà nà hills đà nẵng,Bà Nà Hills,Địa danh tham quan / Văn hóa - Lịch sử,In-scope Đà Nẵng,Informational,500,N/A,N/A,N/A,Planner (Thấp),data/google_planner/da-nang/Keyword Stats 2026-02-22 at 23_55_29.csv,Viết guide/review; ưu tiên long-tail; tạo topic hub và internal link về trang dịch vụ,B,650.0,900.0%,"3,963"
giá vé bà nà hill đà nẵng,Bà Nà Hills,Địa danh tham quan / Văn hóa - Lịch sử,In-scope Đà Nẵng,Transaction,500,N/A,N/A,N/A,Planner (Trung bình),data/google_planner/da-nang/Keyword Stats 2026-02-22 at 23_55_29.csv,"Tạo landing chuyển đổi (giá/vé/đặt chỗ), gom vào cluster page + build backlink nội bộ",B,650.0,900.0%,"3,619"
ba na hills đà nẵng,Bà Nà Hills,Địa danh tham quan / Văn hóa - Lịch sử,In-scope Đà Nẵng,Informational,500,N/A,N/A,N/A,Planner (Trung bình),data/google_planner/da-nang/Keyword Stats 2026-02-22 at 23_55_29.csv,Viết guide/review; ưu tiên long-tail; tạo topic hub và internal link về trang dịch vụ,B,550.0,0%,"14,105"
bà nà đà nẵng,Bà Nà Hills,Địa danh tham quan / Văn hóa - Lịch sử,In-scope Đà Nẵng,Informational,500,N/A,N/A,N/A,Planner (Thấp),data/google_planner/da-nang/Keyword Stats 2026-02-22 at 23_55_29.csv,Viết guide/review; ưu tiên long-tail; tạo topic hub và internal link về trang dịch vụ,B,550.0,0%,"5,505"
khu du lịch bà nà hills đà nẵng,Bà Nà Hills,Địa danh tham quan / Văn hóa - Lịch sử,In-scope Đà Nẵng,Informational,500,N/A,N/A,N/A,Planner (Thấp),data/google_planner/da-nang/Keyword Stats 2026-02-22 at 23_55_29.csv,Viết guide/review; ưu tiên long-tail; tạo topic hub và internal link về trang dịch vụ,B,550.0,0%,"3,968"
đà nẵng bà nà hill,Bà Nà Hills,Địa danh tham quan / Văn hóa - Lịch sử,In-scope Đà Nẵng,Informational,500,N/A,N/A,N/A,Planner (Thấp),data/google_planner/da-nang/Keyword Stats 2026-02-22 at 23_55_29.csv,Viết guide/review; ưu tiên long-tail; tạo topic hub và internal link về trang dịch vụ,B,550.0,0%,"5,796"
vé bà nà hill đà nẵng,Bà Nà Hills,Địa danh tham quan / Văn hóa - Lịch sử,In-scope Đà Nẵng,Commercial Investigation,500,N/A,N/A,N/A,Planner (Cao),data/google_planner/da-nang/Keyword Stats 2026-02-22 at 23_55_29.csv,Viết bài top-list/so sánh; map vào cluster hub; bổ sung schema + ảnh/UGC,B,550.0,0%,"5,454"
vé bà nà hills đà nẵng,Bà Nà Hills,Địa danh tham quan / Văn hóa - Lịch sử,In-scope Đà Nẵng,Commercial Investigation,500,N/A,N/A,N/A,Planner (Cao),data/google_planner/da-nang/Keyword Stats 2026-02-22 at 23_55_29.csv,Viết bài top-list/so sánh; map vào cluster hub; bổ sung schema + ảnh/UGC,B,550.0,0%,"5,454"
vé bà nà cho người đà nẵng,Bà Nà Hills,Địa danh tham quan / Văn hóa - Lịch sử,In-scope Đà Nẵng,Commercial Investigation,500,N/A,N/A,N/A,Planner (Cao),data/google_planner/da-nang/Keyword Stats 2026-02-22 at 23_55_29.csv,Viết bài top-list/so sánh; map vào cluster hub; bổ sung schema + ảnh/UGC,B,550.0,0%,"3,867"
