"query","search interest","increase percent"
"thuê xe du lịch hà nội asia transport",1,"850%"
"công ty du lịch p",1,"550%"
"lập duy tân hội, sang nhật cầu viện, phát động phong trào đông du là ai?",0,"500%"
"tỉnh vĩnh phúc nổi tiếng với địa điểm du lịch nào?",0,"200%"
"khu du lịch tam cốc bích động thuộc tỉnh nào?",1,"180%"
"mũi né là điểm du lịch nổi tiếng thuộc tỉnh nào của việt nam?",0,"140%"
"du lịch mice",1,"70%"
"du lịch vĩnh hy",2,"60%"
"bộ văn hoá thể thao du lịch",1,"50%"
"cao đẳng du lịch hà nội",3,"50%"
"trường cao đẳng du lịch hà nội",2,"50%"
"phú quốc",10,"50%"
"sở văn hóa thể thao và du lịch",3,"40%"
"du lịch quảng trị",2,"40%"
"du lịch thượng hải",2,"40%"
"du lịch thái nguyên",4,"40%"
"du lịch thổ nhĩ kỳ",1,"40%"
"cục du lịch quốc gia việt nam",1,"40%"
"khu du lịch văn thánh",1,"30%"
"cao đẳng thương mại và du lịch hà nội",1,"30%"
"luật du lịch 2017",1,"30%"
"công ty du lịch",44,"30%"
"các điểm du lịch sapa",1,"30%"
"du lịch phú quốc",9,"30%"
"bộ văn hóa thể thao và du lịch",4,"30%"
"du lịch ninh bình 2 ngày 1 đêm",1,"20%"
"du lịch ninh bình",11,"20%"
"du lịch dubai",1,"20%"
"quản trị dịch vụ du lịch và lữ hành",1,"20%"
"vịnh hạ long",3,"20%"
"tour du lịch đà nẵng",3,"20%"
"túi du lịch",4,"20%"
"khu du lịch bình quới",1,"20%"
"du lịch hải phòng",7,"20%"
"du lịch hòa bình",4,"20%"
"du lịch nhật bản",8,"20%"
"du lịch canada",2,"20%"
"sở du lịch hà nội",1,"20%"
"du lịch cà mau",3,"20%"
"du lịch sinh thái",21,"10%"
"bản đồ du lịch việt nam",2,"10%"
"du lịch trung quốc",23,"10%"
"bảo hiểm du lịch",3,"10%"
"du lịch hà nội",32,"10%"
"du lịch hòn sơn",1,"10%"
"du lịch quảng ninh",6,"10%"
"du lịch mũi né",3,"10%"
"luật du lịch",7,"10%"
"du lịch cần giờ",2,"10%"
"du lịch là gì",29,"10%"
