keyword,cluster,cluster_type,geo_scope,intent,vol,imp,clicks,ctr,kd_comp,source,action_plan,group,score,yoy,bid_high
tour bình dương phú quốc,Bình Dương Trip,Di chuyển,Out-of-scope Bình Dương,Commercial Investigation,50,N/A,N/A,N/A,Planner (Cao),data/google_planner/phu-quoc/Keyword Stats 2026-02-23 at 10_18_03.csv,Viết bài top-list/so sánh; map vào cluster hub; bổ sung schema + ảnh/UGC,B,50000.0,0%,0
tour bến tre phú quốc,Bến Tre Trip,Di chuyển,Out-of-scope Bến Tre,Commercial Investigation,50,N/A,N/A,N/A,Planner (Thấp),data/google_planner/phu-quoc/Keyword Stats 2026-02-23 at 10_18_03.csv,Viết bài top-list/so sánh; map vào cluster hub; bổ sung schema + ảnh/UGC,B,50000.0,0%,0
bai sao phu quoc,Các bãi biển nổi tiếng,Địa danh tham quan / Văn hóa - Lịch sử,In-scope Phú Quốc,Informational,50,N/A,N/A,N/A,Planner (Trung bình),data/google_planner/phu-quoc/Keyword Stats 2026-02-23 at 10_18_03.csv,Viết guide/review; ưu tiên long-tail; tạo topic hub và internal link về trang dịch vụ,B,65000.0,900.0%,"28,142"
bãi trường,Các bãi biển nổi tiếng,Địa danh tham quan / Văn hóa - Lịch sử,In-scope Phú Quốc,Informational,14800,N/A,N/A,N/A,Low (0),data/seo_insider/advance_search_report.csv,Viết guide/review; ưu tiên long-tail; tạo topic hub và internal link về trang dịch vụ,B,14800.0,N/A,N/A
bãi dài nha trang,Các bãi biển nổi tiếng,Địa danh tham quan / Văn hóa - Lịch sử,In-scope Phú Quốc,Informational,8100,N/A,N/A,N/A,Low (0),data/seo_insider/advance_search_report.csv,Viết guide/review; ưu tiên long-tail; tạo topic hub và internal link về trang dịch vụ,B,8100.0,N/A,N/A
bãi dài,Các bãi biển nổi tiếng,Địa danh tham quan / Văn hóa - Lịch sử,In-scope Phú Quốc,Informational,8100,N/A,N/A,N/A,Low (5),data/seo_insider/advance_search_report.csv,Viết guide/review; ưu tiên long-tail; tạo topic hub và internal link về trang dịch vụ,B,7695.0,N/A,N/A
hòn móng tay ở phú quốc,Các hòn đảo đẹp,Địa danh tham quan / Văn hóa - Lịch sử,In-scope Phú Quốc,Informational,50,N/A,N/A,N/A,Planner (Thấp),data/google_planner/phu-quoc/Keyword Stats 2026-02-23 at 10_18_03.csv,Viết guide/review; ưu tiên long-tail; tạo topic hub và internal link về trang dịch vụ,B,50000.0,0%,0
tour can tho phu quoc,Cần Thơ Trip,Di chuyển,Out-of-scope Cần Thơ,Commercial Investigation,50,N/A,N/A,N/A,Planner (Trung bình),data/google_planner/phu-quoc/Keyword Stats 2026-02-23 at 10_18_03.csv,Viết bài top-list/so sánh; map vào cluster hub; bổ sung schema + ảnh/UGC,B,55000.00000000001,0%,"4,539"
tour cần thơ phú quốc 3 ngày 2 đêm,Cần Thơ Trip,Di chuyển,Out-of-scope Cần Thơ,Transaction,50,N/A,N/A,N/A,Planner (Trung bình),data/google_planner/phu-quoc/Keyword Stats 2026-02-23 at 10_18_03.csv,"Tạo landing chuyển đổi (giá/vé/đặt chỗ), gom vào cluster page + build backlink nội bộ",B,55000.00000000001,0%,"6,094"
tour cần thơ phú quốc 4 ngày 3 đêm,Cần Thơ Trip,Di chuyển,Out-of-scope Cần Thơ,Transaction,50,N/A,N/A,N/A,Planner (Trung bình),data/google_planner/phu-quoc/Keyword Stats 2026-02-23 at 10_18_03.csv,"Tạo landing chuyển đổi (giá/vé/đặt chỗ), gom vào cluster page + build backlink nội bộ",B,55000.00000000001,0%,"7,402"
giá vé tàu cao tốc cần thơ phú quốc,Cần Thơ Trip,Di chuyển,Out-of-scope Cần Thơ,Transaction,50,N/A,N/A,N/A,Planner (Thấp),data/google_planner/phu-quoc/Keyword Stats 2026-02-23 at 10_18_03.csv,"Tạo landing chuyển đổi (giá/vé/đặt chỗ), gom vào cluster page + build backlink nội bộ",B,55000.00000000001,0%,"2,564"
