keyword,cluster,cluster_type,geo_scope,intent,vol,imp,clicks,ctr,kd_comp,source,action_plan,group,score,yoy,bid_high
tour hà giang cao bằng lạng sơn,Cao Bằng Trip,Di chuyển,Out-of-scope Cao Bằng,Commercial Investigation,50,N/A,N/A,N/A,Planner (Trung bình),data/google_planner/ha-giang/Keyword Stats 2026-02-22 at 23_44_47.csv,Viết bài top-list/so sánh; map vào cluster hub; bổ sung schema + ảnh/UGC,B,2750.0000000000005,0%,"8,965"
quản bạ,Cổng trời Quản Bạ,Địa danh tham quan / Văn hóa - Lịch sử,In-scope Hà Giang,Informational,5400,N/A,N/A,N/A,Low (0),data/seo_insider/advance_search_report.csv,Viết guide/review; ưu tiên long-tail; tạo topic hub và internal link về trang dịch vụ,B,5400.0,N/A,N/A
lũng cú đồng văn hà giang,Cột cờ Lũng Cú,Địa danh tham quan / Văn hóa - Lịch sử,In-scope Hà Giang,Informational,500,N/A,N/A,N/A,Planner (Thấp),data/google_planner/ha-giang/Keyword Stats 2026-02-22 at 23_44_47.csv,Viết guide/review; ưu tiên long-tail; tạo topic hub và internal link về trang dịch vụ,B,30000.0,900.0%,0
lũng cú hà giang,Cột cờ Lũng Cú,Địa danh tham quan / Văn hóa - Lịch sử,In-scope Hà Giang,Informational,500,N/A,N/A,N/A,Planner (Thấp),data/google_planner/ha-giang/Keyword Stats 2026-02-22 at 23_44_47.csv,Viết guide/review; ưu tiên long-tail; tạo topic hub và internal link về trang dịch vụ,B,25000.0,0%,0
du lịch lũng cú hà giang,Cột cờ Lũng Cú,Địa danh tham quan / Văn hóa - Lịch sử,In-scope Hà Giang,Informational,50,N/A,N/A,N/A,Planner (Trung bình),data/google_planner/ha-giang/Keyword Stats 2026-02-22 at 23_44_47.csv,Viết guide/review; ưu tiên long-tail; tạo topic hub và internal link về trang dịch vụ,B,2750.0000000000005,0%,"5,193"
đi lũng cú hà giang,Cột cờ Lũng Cú,Địa danh tham quan / Văn hóa - Lịch sử,In-scope Hà Giang,Informational,50,N/A,N/A,N/A,Planner (Trung bình),data/google_planner/ha-giang/Keyword Stats 2026-02-22 at 23_44_47.csv,Viết guide/review; ưu tiên long-tail; tạo topic hub và internal link về trang dịch vụ,B,2750.0000000000005,0%,"5,615"
hà giang lũng cú,Cột cờ Lũng Cú,Địa danh tham quan / Văn hóa - Lịch sử,In-scope Hà Giang,Informational,50,N/A,N/A,N/A,Planner (Thấp),data/google_planner/ha-giang/Keyword Stats 2026-02-22 at 23_44_47.csv,Viết guide/review; ưu tiên long-tail; tạo topic hub và internal link về trang dịch vụ,B,2500.0,0%,0
từ hà giang đi cột cờ lũng cú,Cột cờ Lũng Cú,Địa danh tham quan / Văn hóa - Lịch sử,In-scope Hà Giang,Informational,50,N/A,N/A,N/A,Planner (Trung bình),data/google_planner/ha-giang/Keyword Stats 2026-02-22 at 23_44_47.csv,Viết guide/review; ưu tiên long-tail; tạo topic hub và internal link về trang dịch vụ,B,2500.0,0%,0
từ thành phố hà giang đến cột cờ lũng cú,Cột cờ Lũng Cú,Địa danh tham quan / Văn hóa - Lịch sử,In-scope Hà Giang,Informational,50,N/A,N/A,N/A,Planner (Thấp),data/google_planner/ha-giang/Keyword Stats 2026-02-22 at 23_44_47.csv,Viết guide/review; ưu tiên long-tail; tạo topic hub và internal link về trang dịch vụ,B,2500.0,0%,0
từ tp hà giang đi cột cờ lũng cú,Cột cờ Lũng Cú,Địa danh tham quan / Văn hóa - Lịch sử,In-scope Hà Giang,Informational,50,N/A,N/A,N/A,Planner (Thấp),data/google_planner/ha-giang/Keyword Stats 2026-02-22 at 23_44_47.csv,Viết guide/review; ưu tiên long-tail; tạo topic hub và internal link về trang dịch vụ,B,2500.0,0%,0
