keyword,cluster,cluster_type,geo_scope,intent,vol,imp,clicks,ctr,kd_comp,source,action_plan,group,score,yoy,bid_high
thác mu hoà bình,Các điểm tham quan khác Hòa Bình,Địa danh tham quan / Văn hóa - Lịch sử,In-scope Hòa Bình,Informational,500,N/A,N/A,N/A,N/A (web),web (hoa-binh.csv),Viết guide/review; ưu tiên long-tail; tạo topic hub và internal link về trang dịch vụ,B,5.0,N/A,N/A
taxi hoà bình,Di chuyển Hòa Bình,Di chuyển,In-scope Hòa Bình,Transaction,500,N/A,N/A,N/A,N/A (web),web (hoa-binh.csv),"Tạo landing chuyển đổi (giá/vé/đặt chỗ), gom vào cluster page + build backlink nội bộ",B,5.0,N/A,N/A
tour hoà bình 1 ngày,Di chuyển Hòa Bình,Di chuyển,In-scope Hòa Bình,Transaction,500,N/A,N/A,N/A,N/A (web),web (hoa-binh.csv),"Tạo landing chuyển đổi (giá/vé/đặt chỗ), gom vào cluster page + build backlink nội bộ",B,5.0,N/A,N/A
tour hoà bình 2 ngày 1 đêm,Di chuyển Hòa Bình,Di chuyển,In-scope Hòa Bình,Transaction,1000,N/A,N/A,N/A,N/A (web),web (hoa-binh.csv),"Tạo landing chuyển đổi (giá/vé/đặt chỗ), gom vào cluster page + build backlink nội bộ",B,5.0,N/A,N/A
tour mai châu 2 ngày 1 đêm,Di chuyển Hòa Bình,Di chuyển,In-scope Hòa Bình,Transaction,1500,N/A,N/A,N/A,N/A (web),web (hoa-binh.csv),"Tạo landing chuyển đổi (giá/vé/đặt chỗ), gom vào cluster page + build backlink nội bộ",B,5.0,N/A,N/A
tour kim bôi 1 ngày,Di chuyển Hòa Bình,Di chuyển,In-scope Hòa Bình,Transaction,500,N/A,N/A,N/A,N/A (web),web (hoa-binh.csv),"Tạo landing chuyển đổi (giá/vé/đặt chỗ), gom vào cluster page + build backlink nội bộ",B,5.0,N/A,N/A
tour kim bôi 2 ngày 1 đêm,Di chuyển Hòa Bình,Di chuyển,In-scope Hòa Bình,Transaction,800,N/A,N/A,N/A,N/A (web),web (hoa-binh.csv),"Tạo landing chuyển đổi (giá/vé/đặt chỗ), gom vào cluster page + build backlink nội bộ",B,5.0,N/A,N/A
tour thung nai 1 ngày,Di chuyển Hòa Bình,Di chuyển,In-scope Hòa Bình,Transaction,800,N/A,N/A,N/A,N/A (web),web (hoa-binh.csv),"Tạo landing chuyển đổi (giá/vé/đặt chỗ), gom vào cluster page + build backlink nội bộ",B,5.0,N/A,N/A
tour thung nai 2 ngày 1 đêm,Di chuyển Hòa Bình,Di chuyển,In-scope Hòa Bình,Transaction,1000,N/A,N/A,N/A,N/A (web),web (hoa-binh.csv),"Tạo landing chuyển đổi (giá/vé/đặt chỗ), gom vào cluster page + build backlink nội bộ",B,5.0,N/A,N/A
ve tàu thung nai,Di chuyển Hòa Bình,Di chuyển,In-scope Hòa Bình,Transaction,500,N/A,N/A,N/A,N/A (web),web (hoa-binh.csv),"Tạo landing chuyển đổi (giá/vé/đặt chỗ), gom vào cluster page + build backlink nội bộ",B,5.0,N/A,N/A
