keyword,cluster,cluster_type,geo_scope,intent,vol,imp,clicks,ctr,kd_comp,source,action_plan,group,score,yoy,bid_high
du lịch cần thơ sóc trăng bạc liêu cà mau,Bạc Liêu Trip,Tổng hợp,Out-of-scope Bạc Liêu,Informational,50,N/A,N/A,N/A,Planner (Trung bình),data/google_planner/can-tho/Keyword Stats 2026-02-23 at 11_18_37.csv,Viết guide/review; ưu tiên long-tail; tạo topic hub và internal link về trang dịch vụ,B,55.00000000000001,0%,"10,017"
tour can tho soc trang bac lieu ca mau,Bạc Liêu Trip,Di chuyển,Out-of-scope Bạc Liêu,Commercial Investigation,50,N/A,N/A,N/A,Planner (Cao),data/google_planner/can-tho/Keyword Stats 2026-02-23 at 11_18_37.csv,Viết bài top-list/so sánh; map vào cluster hub; bổ sung schema + ảnh/UGC,B,50.0,0%,0
cần thơ sóc trăng bạc liêu cà mau,Bạc Liêu Trip,Tổng hợp,Out-of-scope Bạc Liêu,Informational,50,N/A,N/A,N/A,Planner (Thấp),data/google_planner/can-tho/Keyword Stats 2026-02-23 at 11_18_37.csv,Viết guide/review; ưu tiên long-tail; tạo topic hub và internal link về trang dịch vụ,B,50.0,0%,0
ninh kiều riverside,Bến Ninh Kiều,Địa danh tham quan / Văn hóa - Lịch sử,In-scope Cần Thơ,Informational,500,N/A,N/A,N/A,Planner (Trung bình),data/google_planner/can-tho/Keyword Stats 2026-02-23 at 11_18_37.csv,Viết guide/review; ưu tiên long-tail; tạo topic hub và internal link về trang dịch vụ,B,550.0,0%,"9,102"
ninh kiều 2,Bến Ninh Kiều,Địa danh tham quan / Văn hóa - Lịch sử,In-scope Cần Thơ,Informational,500,N/A,N/A,N/A,Planner (Trung bình),data/google_planner/can-tho/Keyword Stats 2026-02-23 at 11_18_37.csv,Viết guide/review; ưu tiên long-tail; tạo topic hub và internal link về trang dịch vụ,B,550.0,0%,"11,860"
bến ninh kiều về đêm,Bến Ninh Kiều,Địa danh tham quan / Văn hóa - Lịch sử,In-scope Cần Thơ,Commercial Investigation,500,N/A,N/A,N/A,Planner (Thấp),data/google_planner/can-tho/Keyword Stats 2026-02-23 at 11_18_37.csv,Viết bài top-list/so sánh; map vào cluster hub; bổ sung schema + ảnh/UGC,B,550.0,0%,"5,605"
ks ninh kieu,Bến Ninh Kiều,Địa danh tham quan / Văn hóa - Lịch sử,In-scope Cần Thơ,Informational,50,N/A,N/A,N/A,Planner (Trung bình),data/google_planner/can-tho/Keyword Stats 2026-02-23 at 11_18_37.csv,Viết guide/review; ưu tiên long-tail; tạo topic hub và internal link về trang dịch vụ,B,55.00000000000001,0%,"14,131"
ninh kieu riverside can tho,Bến Ninh Kiều,Địa danh tham quan / Văn hóa - Lịch sử,In-scope Cần Thơ,Informational,50,N/A,N/A,N/A,Planner (Trung bình),data/google_planner/can-tho/Keyword Stats 2026-02-23 at 11_18_37.csv,Viết guide/review; ưu tiên long-tail; tạo topic hub và internal link về trang dịch vụ,B,55.00000000000001,0%,"12,233"
ks bến ninh kiều,Bến Ninh Kiều,Địa danh tham quan / Văn hóa - Lịch sử,In-scope Cần Thơ,Informational,50,N/A,N/A,N/A,Planner (Cao),data/google_planner/can-tho/Keyword Stats 2026-02-23 at 11_18_37.csv,Viết guide/review; ưu tiên long-tail; tạo topic hub và internal link về trang dịch vụ,B,55.00000000000001,0%,"12,379"
ks ninh kiều 1,Bến Ninh Kiều,Địa danh tham quan / Văn hóa - Lịch sử,In-scope Cần Thơ,Informational,50,N/A,N/A,N/A,Planner (Trung bình),data/google_planner/can-tho/Keyword Stats 2026-02-23 at 11_18_37.csv,Viết guide/review; ưu tiên long-tail; tạo topic hub và internal link về trang dịch vụ,B,55.00000000000001,0%,"5,134"
ks ninh kieu can tho,Bến Ninh Kiều,Địa danh tham quan / Văn hóa - Lịch sử,In-scope Cần Thơ,Informational,50,N/A,N/A,N/A,Planner (Cao),data/google_planner/can-tho/Keyword Stats 2026-02-23 at 11_18_37.csv,Viết guide/review; ưu tiên long-tail; tạo topic hub và internal link về trang dịch vụ,B,55.00000000000001,0%,"6,205"
du lịch bến ninh kiều cần thơ,Bến Ninh Kiều,Địa danh tham quan / Văn hóa - Lịch sử,In-scope Cần Thơ,Informational,50,N/A,N/A,N/A,Planner (Thấp),data/google_planner/can-tho/Keyword Stats 2026-02-23 at 11_18_37.csv,Viết guide/review; ưu tiên long-tail; tạo topic hub và internal link về trang dịch vụ,B,55.00000000000001,0%,"6,657"
ks gần bến ninh kiều,Bến Ninh Kiều,Địa danh tham quan / Văn hóa - Lịch sử,In-scope Cần Thơ,Informational,50,N/A,N/A,N/A,Planner (Cao),data/google_planner/can-tho/Keyword Stats 2026-02-23 at 11_18_37.csv,Viết guide/review; ưu tiên long-tail; tạo topic hub và internal link về trang dịch vụ,B,55.00000000000001,0%,"18,539"
ks ninh kiều 2 cần thơ,Bến Ninh Kiều,Địa danh tham quan / Văn hóa - Lịch sử,In-scope Cần Thơ,Informational,50,N/A,N/A,N/A,Planner (Trung bình),data/google_planner/can-tho/Keyword Stats 2026-02-23 at 11_18_37.csv,Viết guide/review; ưu tiên long-tail; tạo topic hub và internal link về trang dịch vụ,B,55.00000000000001,0%,"13,169"
ks ninh kiều 1 cần thơ,Bến Ninh Kiều,Địa danh tham quan / Văn hóa - Lịch sử,In-scope Cần Thơ,Informational,50,N/A,N/A,N/A,Planner (Trung bình),data/google_planner/can-tho/Keyword Stats 2026-02-23 at 11_18_37.csv,Viết guide/review; ưu tiên long-tail; tạo topic hub và internal link về trang dịch vụ,B,55.00000000000001,0%,"5,713"
ks ninh kiều riverside cần thơ,Bến Ninh Kiều,Địa danh tham quan / Văn hóa - Lịch sử,In-scope Cần Thơ,Informational,50,N/A,N/A,N/A,Planner (Cao),data/google_planner/can-tho/Keyword Stats 2026-02-23 at 11_18_37.csv,Viết guide/review; ưu tiên long-tail; tạo topic hub và internal link về trang dịch vụ,B,55.00000000000001,0%,"11,411"
ninh kiều 2 cần thơ,Bến Ninh Kiều,Địa danh tham quan / Văn hóa - Lịch sử,In-scope Cần Thơ,Informational,50,N/A,N/A,N/A,Planner (Trung bình),data/google_planner/can-tho/Keyword Stats 2026-02-23 at 11_18_37.csv,Viết guide/review; ưu tiên long-tail; tạo topic hub và internal link về trang dịch vụ,B,55.00000000000001,0%,"16,525"
riverside ninh kieu,Bến Ninh Kiều,Địa danh tham quan / Văn hóa - Lịch sử,In-scope Cần Thơ,Informational,50,N/A,N/A,N/A,Planner (Trung bình),data/google_planner/can-tho/Keyword Stats 2026-02-23 at 11_18_37.csv,Viết guide/review; ưu tiên long-tail; tạo topic hub và internal link về trang dịch vụ,B,55.00000000000001,0%,"10,360"
du lịch bến ninh kiều,Bến Ninh Kiều,Địa danh tham quan / Văn hóa - Lịch sử,In-scope Cần Thơ,Informational,50,N/A,N/A,N/A,Planner (Thấp),data/google_planner/can-tho/Keyword Stats 2026-02-23 at 11_18_37.csv,Viết guide/review; ưu tiên long-tail; tạo topic hub và internal link về trang dịch vụ,B,50.0,0%,0
du lịch cần thơ bến ninh kiều,Bến Ninh Kiều,Địa danh tham quan / Văn hóa - Lịch sử,In-scope Cần Thơ,Informational,50,N/A,N/A,N/A,Planner (Thấp),data/google_planner/can-tho/Keyword Stats 2026-02-23 at 11_18_37.csv,Viết guide/review; ưu tiên long-tail; tạo topic hub và internal link về trang dịch vụ,B,50.0,0%,0
du lịch ninh kiều cần thơ,Bến Ninh Kiều,Địa danh tham quan / Văn hóa - Lịch sử,In-scope Cần Thơ,Informational,50,N/A,N/A,N/A,Planner (Cao),data/google_planner/can-tho/Keyword Stats 2026-02-23 at 11_18_37.csv,Viết guide/review; ưu tiên long-tail; tạo topic hub và internal link về trang dịch vụ,B,50.0,0%,0
khu du lịch bến ninh kiều,Bến Ninh Kiều,Địa danh tham quan / Văn hóa - Lịch sử,In-scope Cần Thơ,Informational,50,N/A,N/A,N/A,Planner (Thấp),data/google_planner/can-tho/Keyword Stats 2026-02-23 at 11_18_37.csv,Viết guide/review; ưu tiên long-tail; tạo topic hub và internal link về trang dịch vụ,B,50.0,0%,0
khu du lịch bến ninh kiều cần thơ,Bến Ninh Kiều,Địa danh tham quan / Văn hóa - Lịch sử,In-scope Cần Thơ,Informational,50,N/A,N/A,N/A,Planner (Thấp),data/google_planner/can-tho/Keyword Stats 2026-02-23 at 11_18_37.csv,Viết guide/review; ưu tiên long-tail; tạo topic hub và internal link về trang dịch vụ,B,50.0,0%,0
ninh kiều riverside 4 sao,Bến Ninh Kiều,Địa danh tham quan / Văn hóa - Lịch sử,In-scope Cần Thơ,Informational,50,N/A,N/A,N/A,Planner (Thấp),data/google_planner/can-tho/Keyword Stats 2026-02-23 at 11_18_37.csv,Viết guide/review; ưu tiên long-tail; tạo topic hub và internal link về trang dịch vụ,B,50.0,0%,0
ttc ninh kiều,Bến Ninh Kiều,Địa danh tham quan / Văn hóa - Lịch sử,In-scope Cần Thơ,Informational,50,N/A,N/A,N/A,Planner (Trung bình),data/google_planner/can-tho/Keyword Stats 2026-02-23 at 11_18_37.csv,Viết guide/review; ưu tiên long-tail; tạo topic hub và internal link về trang dịch vụ,B,50.0,0%,0
du lịch cần thơ bến tre,Bến Tre Trip,Tổng hợp,Out-of-scope Bến Tre,Informational,50,N/A,N/A,N/A,Planner (Cao),data/google_planner/can-tho/Keyword Stats 2026-02-23 at 11_18_37.csv,Viết guide/review; ưu tiên long-tail; tạo topic hub và internal link về trang dịch vụ,B,55.00000000000001,0%,"9,850"
tour ben tre can tho,Bến Tre Trip,Di chuyển,Out-of-scope Bến Tre,Commercial Investigation,50,N/A,N/A,N/A,Planner (Cao),data/google_planner/can-tho/Keyword Stats 2026-02-23 at 11_18_37.csv,Viết bài top-list/so sánh; map vào cluster hub; bổ sung schema + ảnh/UGC,B,55.00000000000001,0%,"15,848"
cần thơ bến tre,Bến Tre Trip,Tổng hợp,Out-of-scope Bến Tre,Informational,50,N/A,N/A,N/A,Planner (Thấp),data/google_planner/can-tho/Keyword Stats 2026-02-23 at 11_18_37.csv,Viết guide/review; ưu tiên long-tail; tạo topic hub và internal link về trang dịch vụ,B,50.0,0%,0
du lịch bến tre cần thơ,Bến Tre Trip,Tổng hợp,Out-of-scope Bến Tre,Informational,50,N/A,N/A,N/A,Planner (Không xác định),data/google_planner/can-tho/Keyword Stats 2026-02-23 at 11_18_37.csv,Viết guide/review; ưu tiên long-tail; tạo topic hub và internal link về trang dịch vụ,B,50.0,-100.0%,0
tour sài gòn bến tre cần thơ,Bến Tre Trip,Di chuyển,Out-of-scope Bến Tre,Commercial Investigation,50,N/A,N/A,N/A,Planner (Cao),data/google_planner/can-tho/Keyword Stats 2026-02-23 at 11_18_37.csv,Viết bài top-list/so sánh; map vào cluster hub; bổ sung schema + ảnh/UGC,B,50.0,0%,0
chợ nỗi cần thơ,Chợ nổi Cái Răng,Địa danh tham quan / Văn hóa - Lịch sử,In-scope Cần Thơ,Informational,5000,N/A,N/A,N/A,Planner (Thấp),data/google_planner/can-tho/Keyword Stats 2026-02-23 at 11_18_37.csv,Viết guide/review; ưu tiên long-tail; tạo topic hub và internal link về trang dịch vụ,B,5500.0,0%,"4,084"
