keyword,cluster,cluster_type,geo_scope,intent,vol,imp,clicks,ctr,kd_comp,source,action_plan,group,score,yoy,bid_high
angsana lăng cô resort huế,Angsana Lăng Cô,Lưu trú,In-scope Huế,Transaction,50,N/A,N/A,N/A,Planner (Cao),data/google_planner/hue/Keyword Stats 2026-02-23 at 01_17_48.csv,"Tạo landing chuyển đổi (giá/vé/đặt chỗ), gom vào cluster page + build backlink nội bộ",B,82.50000000000001,0%,"5,194"
khách sạn angsana lăng cô huế,Angsana Lăng Cô,Lưu trú,In-scope Huế,Commercial Investigation,50,N/A,N/A,N/A,Planner (Trung bình),data/google_planner/hue/Keyword Stats 2026-02-23 at 01_17_48.csv,Viết bài top-list/so sánh; map vào cluster hub; bổ sung schema + ảnh/UGC,B,75.0,0%,0
resort angsana lăng cô huế,Angsana Lăng Cô,Lưu trú,In-scope Huế,Commercial Investigation,50,N/A,N/A,N/A,Planner (Trung bình),data/google_planner/hue/Keyword Stats 2026-02-23 at 01_17_48.csv,Viết bài top-list/so sánh; map vào cluster hub; bổ sung schema + ảnh/UGC,B,75.0,0%,0
resort banyan tree lăng cô huế,Banyan Tree Lăng Cô,Lưu trú,In-scope Huế,Commercial Investigation,50,N/A,N/A,N/A,Planner (Cao),data/google_planner/hue/Keyword Stats 2026-02-23 at 01_17_48.csv,Viết bài top-list/so sánh; map vào cluster hub; bổ sung schema + ảnh/UGC,B,82.50000000000001,0%,"5,433"
khu nghỉ dưỡng lăng cô t26,Biển Lăng Cô,Địa danh tham quan / Văn hóa - Lịch sử,In-scope Huế,Informational,N/A,1945,53,2.72%,N/A (N/A),data/google_search_console/Queries.csv,"Cập nhật nội dung theo intent, bổ sung FAQ + schema, tối ưu title/meta để đẩy Top 1-3",A,53.0,N/A,N/A
t26 lăng cô,Biển Lăng Cô,Địa danh tham quan / Văn hóa - Lịch sử,In-scope Huế,Informational,N/A,1237,42,3.4%,N/A (N/A),data/google_search_console/Queries.csv,"Cập nhật nội dung theo intent, bổ sung FAQ + schema, tối ưu title/meta để đẩy Top 1-3",A,42.0,N/A,N/A
giá khu nghỉ dưỡng lăng cô t26,Biển Lăng Cô,Địa danh tham quan / Văn hóa - Lịch sử,In-scope Huế,Transaction,N/A,270,30,11.11%,N/A (N/A),data/google_search_console/Queries.csv,"Tối ưu landing (CTA/giá/FAQ), cải thiện snippet để tăng CTR; internal link từ hub 'Huế'",A,30.0,N/A,N/A
khu nghỉ dưỡng t26 lăng cô,Biển Lăng Cô,Địa danh tham quan / Văn hóa - Lịch sử,In-scope Huế,Informational,N/A,330,24,7.27%,N/A (N/A),data/google_search_console/Queries.csv,"Cập nhật nội dung theo intent, bổ sung FAQ + schema, tối ưu title/meta để đẩy Top 1-3",A,24.0,N/A,N/A
nhà khách t26 lăng cô,Biển Lăng Cô,Địa danh tham quan / Văn hóa - Lịch sử,In-scope Huế,Informational,N/A,310,20,6.45%,N/A (N/A),data/google_search_console/Queries.csv,"Cập nhật nội dung theo intent, bổ sung FAQ + schema, tối ưu title/meta để đẩy Top 1-3",A,20.0,N/A,N/A
suối ở lăng cô,Biển Lăng Cô,Địa danh tham quan / Văn hóa - Lịch sử,In-scope Huế,Informational,N/A,88,18,20.45%,N/A (N/A),data/google_search_console/Queries.csv,"Cập nhật nội dung theo intent, bổ sung FAQ + schema, tối ưu title/meta để đẩy Top 1-3",A,18.0,N/A,N/A
ảnh làng cổ đường lâm,Biển Lăng Cô,Địa danh tham quan / Văn hóa - Lịch sử,In-scope Huế,Informational,N/A,185,14,7.57%,N/A (N/A),data/google_search_console/Queries.csv,"Cập nhật nội dung theo intent, bổ sung FAQ + schema, tối ưu title/meta để đẩy Top 1-3",A,14.0,N/A,N/A
suối mơ lăng cô,Biển Lăng Cô,Địa danh tham quan / Văn hóa - Lịch sử,In-scope Huế,Informational,N/A,2155,11,0.51%,N/A (N/A),data/google_search_console/Queries.csv,"Cập nhật nội dung theo intent, bổ sung FAQ + schema, tối ưu title/meta để đẩy Top 1-3",A,11.0,N/A,N/A
làng cổ đường lâm,Biển Lăng Cô,Địa danh tham quan / Văn hóa - Lịch sử,In-scope Huế,Informational,27100,N/A,N/A,N/A,Low (0),data/seo_insider/advance_search_report.csv,Viết guide/review; ưu tiên long-tail; tạo topic hub và internal link về trang dịch vụ,B,27100.0,N/A,N/A
tt lăng cô,Biển Lăng Cô,Địa danh tham quan / Văn hóa - Lịch sử,In-scope Huế,Informational,18100,N/A,N/A,N/A,Low (0),data/seo_insider/advance_search_report.csv,Viết guide/review; ưu tiên long-tail; tạo topic hub và internal link về trang dịch vụ,B,18100.0,N/A,N/A
lăng cô,Biển Lăng Cô,Địa danh tham quan / Văn hóa - Lịch sử,In-scope Huế,Commercial Investigation,6600,N/A,N/A,N/A,Low (7),data/seo_insider/advance_search_report.csv,Viết bài top-list/so sánh; map vào cluster hub; bổ sung schema + ảnh/UGC,B,6138.0,N/A,N/A
angsana lang co,Biển Lăng Cô,Địa danh tham quan / Văn hóa - Lịch sử,In-scope Huế,Commercial Investigation,5400,N/A,N/A,N/A,Low (6),data/seo_insider/advance_search_report.csv,Viết bài top-list/so sánh; map vào cluster hub; bổ sung schema + ảnh/UGC,B,5076.0,N/A,N/A
angsana lăng cô huế,Biển Lăng Cô,Địa danh tham quan / Văn hóa - Lịch sử,In-scope Huế,Informational,500,N/A,N/A,N/A,Planner (Cao),data/google_planner/hue/Keyword Stats 2026-02-23 at 01_17_48.csv,Viết guide/review; ưu tiên long-tail; tạo topic hub và internal link về trang dịch vụ,B,550.0,0%,"5,973"
banyan tree lăng cô huế,Biển Lăng Cô,Địa danh tham quan / Văn hóa - Lịch sử,In-scope Huế,Informational,500,N/A,N/A,N/A,Planner (Cao),data/google_planner/hue/Keyword Stats 2026-02-23 at 01_17_48.csv,Viết guide/review; ưu tiên long-tail; tạo topic hub và internal link về trang dịch vụ,B,550.0,0%,"10,914"
khu nghỉ dưỡng angsana lăng cô huế,Biển Lăng Cô,Địa danh tham quan / Văn hóa - Lịch sử,In-scope Huế,Informational,50,N/A,N/A,N/A,Planner (Trung bình),data/google_planner/hue/Keyword Stats 2026-02-23 at 01_17_48.csv,Viết guide/review; ưu tiên long-tail; tạo topic hub và internal link về trang dịch vụ,B,55.00000000000001,0%,"2,449"
khu nghỉ dưỡng banyan tree lăng cô huế,Biển Lăng Cô,Địa danh tham quan / Văn hóa - Lịch sử,In-scope Huế,Informational,50,N/A,N/A,N/A,Planner (Cao),data/google_planner/hue/Keyword Stats 2026-02-23 at 01_17_48.csv,Viết guide/review; ưu tiên long-tail; tạo topic hub và internal link về trang dịch vụ,B,55.00000000000001,0%,"5,130"
du lịch huế lăng cô 4 ngày 3 đêm,Biển Lăng Cô,Địa danh tham quan / Văn hóa - Lịch sử,In-scope Huế,Informational,50,N/A,N/A,N/A,Planner (Thấp),data/google_planner/hue/Keyword Stats 2026-02-23 at 01_17_48.csv,Viết guide/review; ưu tiên long-tail; tạo topic hub và internal link về trang dịch vụ,B,50.0,0%,0
khu nghỉ dưỡng angsana lăng cô huế ivivu,Biển Lăng Cô,Địa danh tham quan / Văn hóa - Lịch sử,In-scope Huế,Informational,50,N/A,N/A,N/A,Planner (Không xác định),data/google_planner/hue/Keyword Stats 2026-02-23 at 01_17_48.csv,Viết guide/review; ưu tiên long-tail; tạo topic hub và internal link về trang dịch vụ,B,50.0,-100.0%,0
khu nghỉ dưỡng lăng cô huế,Biển Lăng Cô,Địa danh tham quan / Văn hóa - Lịch sử,In-scope Huế,Informational,50,N/A,N/A,N/A,Planner (Thấp),data/google_planner/hue/Keyword Stats 2026-02-23 at 01_17_48.csv,Viết guide/review; ưu tiên long-tail; tạo topic hub và internal link về trang dịch vụ,B,50.0,0%,0
ks ở lăng cô huế,Biển Lăng Cô,Địa danh tham quan / Văn hóa - Lịch sử,In-scope Huế,Informational,50,N/A,N/A,N/A,Planner (Cao),data/google_planner/hue/Keyword Stats 2026-02-23 at 01_17_48.csv,Viết guide/review; ưu tiên long-tail; tạo topic hub và internal link về trang dịch vụ,B,50.0,0%,0
bãi biển thuận an,Biển Thuận An,Địa danh tham quan / Văn hóa - Lịch sử,In-scope Huế,Informational,14800,N/A,N/A,N/A,Low (0),data/seo_insider/advance_search_report.csv,Viết guide/review; ưu tiên long-tail; tạo topic hub và internal link về trang dịch vụ,B,14800.0,N/A,N/A
thuận an beach,Biển Thuận An,Địa danh tham quan / Văn hóa - Lịch sử,In-scope Huế,Commercial Investigation,8100,N/A,N/A,N/A,Low (0),data/seo_insider/advance_search_report.csv,Viết bài top-list/so sánh; map vào cluster hub; bổ sung schema + ảnh/UGC,B,8100.0,N/A,N/A
khách sạn bình dương 4 huế,Bình Dương Trip,Lưu trú,Out-of-scope Bình Dương,Transaction,50,N/A,N/A,N/A,Planner (Trung bình),data/google_planner/hue/Keyword Stats 2026-02-23 at 01_17_48.csv,"Tạo landing chuyển đổi (giá/vé/đặt chỗ), gom vào cluster page + build backlink nội bộ",B,82.50000000000001,0%,"18,432"
khách sạn bình dương huế,Bình Dương Trip,Lưu trú,Out-of-scope Bình Dương,Transaction,50,N/A,N/A,N/A,Planner (Trung bình),data/google_planner/hue/Keyword Stats 2026-02-23 at 01_17_48.csv,"Tạo landing chuyển đổi (giá/vé/đặt chỗ), gom vào cluster page + build backlink nội bộ",B,82.50000000000001,0%,"10,019"
khách sạn bình dương 2 huế,Bình Dương Trip,Lưu trú,Out-of-scope Bình Dương,Commercial Investigation,50,N/A,N/A,N/A,Planner (Thấp),data/google_planner/hue/Keyword Stats 2026-02-23 at 01_17_48.csv,Viết bài top-list/so sánh; map vào cluster hub; bổ sung schema + ảnh/UGC,B,75.0,0%,0
bún bò huế nét huế,Bún bò Huế,Ẩm thực (F&B),In-scope Huế,Informational,50,N/A,N/A,N/A,Planner (Thấp),data/google_planner/hue/Keyword Stats 2026-02-23 at 01_17_48.csv,Viết guide/review; ưu tiên long-tail; tạo topic hub và internal link về trang dịch vụ,B,50.0,0%,0
chùa thiên mụ được unesco công nhận vào năm nào,Chùa Thiên Mụ,Địa danh tham quan / Văn hóa - Lịch sử,In-scope Huế,Informational,N/A,302,23,7.62%,N/A (N/A),data/google_search_console/Queries.csv,"Cập nhật nội dung theo intent, bổ sung FAQ + schema, tối ưu title/meta để đẩy Top 1-3",A,23.0,N/A,N/A
chùa thiên mụ,Chùa Thiên Mụ,Địa danh tham quan / Văn hóa - Lịch sử,In-scope Huế,Informational,49500,N/A,N/A,N/A,Low (3),data/seo_insider/advance_search_report.csv,Viết guide/review; ưu tiên long-tail; tạo topic hub và internal link về trang dịch vụ,B,48015.0,N/A,N/A
xe du lich hue,Di chuyển Huế,Di chuyển,In-scope Huế,Commercial Investigation,50,N/A,N/A,N/A,Planner (Trung bình),data/google_planner/hue/Keyword Stats 2026-02-23 at 01_17_48.csv,Viết bài top-list/so sánh; map vào cluster hub; bổ sung schema + ảnh/UGC,B,55.00000000000001,0%,"7,235"
xe huế phong nha,Di chuyển Huế,Di chuyển,In-scope Huế,Commercial Investigation,50,N/A,N/A,N/A,Planner (Trung bình),data/google_planner/hue/Keyword Stats 2026-02-23 at 01_17_48.csv,Viết bài top-list/so sánh; map vào cluster hub; bổ sung schema + ảnh/UGC,B,55.00000000000001,0%,"5,973"
mytour huế,Di chuyển Huế,Di chuyển,In-scope Huế,Informational,50,N/A,N/A,N/A,Planner (Thấp),data/google_planner/hue/Keyword Stats 2026-02-23 at 01_17_48.csv,Viết guide/review; ưu tiên long-tail; tạo topic hub và internal link về trang dịch vụ,B,50.0,0%,0
xe du lịch huế giá rẻ,Di chuyển Huế,Di chuyển,In-scope Huế,Transaction,50,N/A,N/A,N/A,Planner (Thấp),data/google_planner/hue/Keyword Stats 2026-02-23 at 01_17_48.csv,"Tạo landing chuyển đổi (giá/vé/đặt chỗ), gom vào cluster page + build backlink nội bộ",B,50.0,0%,0
kinh nghiệm tự lái xe đi huế,Di chuyển Huế,Di chuyển,In-scope Huế,Commercial Investigation,50,N/A,N/A,N/A,Planner (Thấp),data/google_planner/hue/Keyword Stats 2026-02-23 at 01_17_48.csv,Viết bài top-list/so sánh; map vào cluster hub; bổ sung schema + ảnh/UGC,B,50.0,0%,0
xe huế đi phong nha,Di chuyển Huế,Di chuyển,In-scope Huế,Commercial Investigation,50,N/A,N/A,N/A,Planner (Cao),data/google_planner/hue/Keyword Stats 2026-02-23 at 01_17_48.csv,Viết bài top-list/so sánh; map vào cluster hub; bổ sung schema + ảnh/UGC,B,50.0,0%,0
