keyword,cluster,cluster_type,geo_scope,intent,vol,imp,clicks,ctr,kd_comp,source,action_plan,group,score,yoy,bid_high
tour tây ninh 1 ngày vietravel,Di chuyển Tây Ninh,Di chuyển,In-scope Tây Ninh,Transaction,500,N/A,N/A,N/A,Planner (Trung bình),data/google_planner/tay-ninh/Keyword Stats 2026-02-23 at 11_15_05.csv,"Tạo landing chuyển đổi (giá/vé/đặt chỗ), gom vào cluster page + build backlink nội bộ",B,550.0,0%,"10,508"
tour tây ninh 2 ngày 1 đêm,Di chuyển Tây Ninh,Di chuyển,In-scope Tây Ninh,Transaction,500,N/A,N/A,N/A,Planner (Cao),data/google_planner/tay-ninh/Keyword Stats 2026-02-23 at 11_15_05.csv,"Tạo landing chuyển đổi (giá/vé/đặt chỗ), gom vào cluster page + build backlink nội bộ",B,550.0,0%,"6,235"
tour tây ninh 2 ngày 1 đêm vietravel,Di chuyển Tây Ninh,Di chuyển,In-scope Tây Ninh,Transaction,500,N/A,N/A,N/A,Planner (Trung bình),data/google_planner/tay-ninh/Keyword Stats 2026-02-23 at 11_15_05.csv,"Tạo landing chuyển đổi (giá/vé/đặt chỗ), gom vào cluster page + build backlink nội bộ",B,550.0,-90.0%,"8,508"
tour du lich tay ninh,Di chuyển Tây Ninh,Di chuyển,In-scope Tây Ninh,Commercial Investigation,50,N/A,N/A,N/A,Planner (Thấp),data/google_planner/tay-ninh/Keyword Stats 2026-02-23 at 11_15_05.csv,Viết bài top-list/so sánh; map vào cluster hub; bổ sung schema + ảnh/UGC,B,55.00000000000001,0%,"4,486"
tour tay ninh 1 ngay,Di chuyển Tây Ninh,Di chuyển,In-scope Tây Ninh,Transaction,50,N/A,N/A,N/A,Planner (Trung bình),data/google_planner/tay-ninh/Keyword Stats 2026-02-23 at 11_15_05.csv,"Tạo landing chuyển đổi (giá/vé/đặt chỗ), gom vào cluster page + build backlink nội bộ",B,55.00000000000001,0%,"12,643"
tour tay ninh,Di chuyển Tây Ninh,Di chuyển,In-scope Tây Ninh,Commercial Investigation,50,N/A,N/A,N/A,Planner (Cao),data/google_planner/tay-ninh/Keyword Stats 2026-02-23 at 11_15_05.csv,Viết bài top-list/so sánh; map vào cluster hub; bổ sung schema + ảnh/UGC,B,55.00000000000001,0%,"11,816"
tour núi bà đen tây ninh,Di chuyển Tây Ninh,Di chuyển,In-scope Tây Ninh,Commercial Investigation,50,N/A,N/A,N/A,Planner (Cao),data/google_planner/tay-ninh/Keyword Stats 2026-02-23 at 11_15_05.csv,Viết bài top-list/so sánh; map vào cluster hub; bổ sung schema + ảnh/UGC,B,55.00000000000001,-90.0%,"8,543"
tour đi tây ninh,Di chuyển Tây Ninh,Di chuyển,In-scope Tây Ninh,Commercial Investigation,50,N/A,N/A,N/A,Planner (Cao),data/google_planner/tay-ninh/Keyword Stats 2026-02-23 at 11_15_05.csv,Viết bài top-list/so sánh; map vào cluster hub; bổ sung schema + ảnh/UGC,B,55.00000000000001,0%,"9,554"
tour chùa bà tây ninh,Di chuyển Tây Ninh,Di chuyển,In-scope Tây Ninh,Commercial Investigation,50,N/A,N/A,N/A,Planner (Cao),data/google_planner/tay-ninh/Keyword Stats 2026-02-23 at 11_15_05.csv,Viết bài top-list/so sánh; map vào cluster hub; bổ sung schema + ảnh/UGC,B,55.00000000000001,0%,"5,713"
tây ninh tour,Di chuyển Tây Ninh,Di chuyển,In-scope Tây Ninh,Commercial Investigation,50,N/A,N/A,N/A,Planner (Thấp),data/google_planner/tay-ninh/Keyword Stats 2026-02-23 at 11_15_05.csv,Viết bài top-list/so sánh; map vào cluster hub; bổ sung schema + ảnh/UGC,B,55.00000000000001,0%,"10,245"
tour củ chi tây ninh,Di chuyển Tây Ninh,Di chuyển,In-scope Tây Ninh,Commercial Investigation,50,N/A,N/A,N/A,Planner (Cao),data/google_planner/tay-ninh/Keyword Stats 2026-02-23 at 11_15_05.csv,Viết bài top-list/so sánh; map vào cluster hub; bổ sung schema + ảnh/UGC,B,55.00000000000001,0%,"10,677"
tour di tay ninh,Di chuyển Tây Ninh,Di chuyển,In-scope Tây Ninh,Commercial Investigation,50,N/A,N/A,N/A,Planner (Cao),data/google_planner/tay-ninh/Keyword Stats 2026-02-23 at 11_15_05.csv,Viết bài top-list/so sánh; map vào cluster hub; bổ sung schema + ảnh/UGC,B,55.00000000000001,0%,"4,585"
tour du lịch núi bà đen tây ninh,Di chuyển Tây Ninh,Di chuyển,In-scope Tây Ninh,Commercial Investigation,50,N/A,N/A,N/A,Planner (Cao),data/google_planner/tay-ninh/Keyword Stats 2026-02-23 at 11_15_05.csv,Viết bài top-list/so sánh; map vào cluster hub; bổ sung schema + ảnh/UGC,B,55.00000000000001,0%,"9,426"
tour du lịch núi bà đen tây ninh 1 ngày,Di chuyển Tây Ninh,Di chuyển,In-scope Tây Ninh,Transaction,50,N/A,N/A,N/A,Planner (Cao),data/google_planner/tay-ninh/Keyword Stats 2026-02-23 at 11_15_05.csv,"Tạo landing chuyển đổi (giá/vé/đặt chỗ), gom vào cluster page + build backlink nội bộ",B,55.00000000000001,0%,"10,712"
tour du lịch tây ninh 1 ngày,Di chuyển Tây Ninh,Di chuyển,In-scope Tây Ninh,Transaction,50,N/A,N/A,N/A,Planner (Cao),data/google_planner/tay-ninh/Keyword Stats 2026-02-23 at 11_15_05.csv,"Tạo landing chuyển đổi (giá/vé/đặt chỗ), gom vào cluster page + build backlink nội bộ",B,55.00000000000001,0%,"5,992"
tour du lịch tây ninh 2 ngày 1 đêm,Di chuyển Tây Ninh,Di chuyển,In-scope Tây Ninh,Transaction,50,N/A,N/A,N/A,Planner (Cao),data/google_planner/tay-ninh/Keyword Stats 2026-02-23 at 11_15_05.csv,"Tạo landing chuyển đổi (giá/vé/đặt chỗ), gom vào cluster page + build backlink nội bộ",B,55.00000000000001,0%,"4,449"
tour du lịch tây ninh trong ngày,Di chuyển Tây Ninh,Di chuyển,In-scope Tây Ninh,Commercial Investigation,50,N/A,N/A,N/A,Planner (Cao),data/google_planner/tay-ninh/Keyword Stats 2026-02-23 at 11_15_05.csv,Viết bài top-list/so sánh; map vào cluster hub; bổ sung schema + ảnh/UGC,B,55.00000000000001,0%,"8,851"
tour du lịch xuất phát từ tây ninh,Di chuyển Tây Ninh,Di chuyển,In-scope Tây Ninh,Commercial Investigation,50,N/A,N/A,N/A,Planner (Thấp),data/google_planner/tay-ninh/Keyword Stats 2026-02-23 at 11_15_05.csv,Viết bài top-list/so sánh; map vào cluster hub; bổ sung schema + ảnh/UGC,B,55.00000000000001,0%,"3,203"
tour núi bà tây ninh,Di chuyển Tây Ninh,Di chuyển,In-scope Tây Ninh,Commercial Investigation,50,N/A,N/A,N/A,Planner (Cao),data/google_planner/tay-ninh/Keyword Stats 2026-02-23 at 11_15_05.csv,Viết bài top-list/so sánh; map vào cluster hub; bổ sung schema + ảnh/UGC,B,55.00000000000001,0%,"6,926"
tour tây ninh 2 ngày,Di chuyển Tây Ninh,Di chuyển,In-scope Tây Ninh,Transaction,50,N/A,N/A,N/A,Planner (Cao),data/google_planner/tay-ninh/Keyword Stats 2026-02-23 at 11_15_05.csv,"Tạo landing chuyển đổi (giá/vé/đặt chỗ), gom vào cluster page + build backlink nội bộ",B,55.00000000000001,0%,"4,066"
tour tây ninh 3 ngày 2 đêm,Di chuyển Tây Ninh,Di chuyển,In-scope Tây Ninh,Transaction,50,N/A,N/A,N/A,Planner (Trung bình),data/google_planner/tay-ninh/Keyword Stats 2026-02-23 at 11_15_05.csv,"Tạo landing chuyển đổi (giá/vé/đặt chỗ), gom vào cluster page + build backlink nội bộ",B,55.00000000000001,0%,"6,254"
tour tây ninh núi bà đen,Di chuyển Tây Ninh,Di chuyển,In-scope Tây Ninh,Commercial Investigation,50,N/A,N/A,N/A,Planner (Trung bình),data/google_planner/tay-ninh/Keyword Stats 2026-02-23 at 11_15_05.csv,Viết bài top-list/so sánh; map vào cluster hub; bổ sung schema + ảnh/UGC,B,55.00000000000001,0%,"9,622"
tour tây ninh saigontourist,Di chuyển Tây Ninh,Di chuyển,In-scope Tây Ninh,Commercial Investigation,50,N/A,N/A,N/A,Planner (Trung bình),data/google_planner/tay-ninh/Keyword Stats 2026-02-23 at 11_15_05.csv,Viết bài top-list/so sánh; map vào cluster hub; bổ sung schema + ảnh/UGC,B,55.00000000000001,0%,"10,494"
tour tây ninh vietravel,Di chuyển Tây Ninh,Di chuyển,In-scope Tây Ninh,Commercial Investigation,50,N/A,N/A,N/A,Planner (Trung bình),data/google_planner/tay-ninh/Keyword Stats 2026-02-23 at 11_15_05.csv,Viết bài top-list/so sánh; map vào cluster hub; bổ sung schema + ảnh/UGC,B,55.00000000000001,0%,"12,554"
tour đi chùa bà tây ninh,Di chuyển Tây Ninh,Di chuyển,In-scope Tây Ninh,Commercial Investigation,50,N/A,N/A,N/A,Planner (Trung bình),data/google_planner/tay-ninh/Keyword Stats 2026-02-23 at 11_15_05.csv,Viết bài top-list/so sánh; map vào cluster hub; bổ sung schema + ảnh/UGC,B,55.00000000000001,0%,"15,848"
tour đi núi bà đen tây ninh,Di chuyển Tây Ninh,Di chuyển,In-scope Tây Ninh,Commercial Investigation,50,N/A,N/A,N/A,Planner (Cao),data/google_planner/tay-ninh/Keyword Stats 2026-02-23 at 11_15_05.csv,Viết bài top-list/so sánh; map vào cluster hub; bổ sung schema + ảnh/UGC,B,55.00000000000001,0%,"10,636"
tour đi tây ninh 1 ngày,Di chuyển Tây Ninh,Di chuyển,In-scope Tây Ninh,Transaction,50,N/A,N/A,N/A,Planner (Cao),data/google_planner/tay-ninh/Keyword Stats 2026-02-23 at 11_15_05.csv,"Tạo landing chuyển đổi (giá/vé/đặt chỗ), gom vào cluster page + build backlink nội bộ",B,55.00000000000001,0%,"10,123"
tour du lịch ở tây ninh,Di chuyển Tây Ninh,Di chuyển,In-scope Tây Ninh,Commercial Investigation,50,N/A,N/A,N/A,Planner (Cao),data/google_planner/tay-ninh/Keyword Stats 2026-02-23 at 11_15_05.csv,Viết bài top-list/so sánh; map vào cluster hub; bổ sung schema + ảnh/UGC,B,50.0,0%,0
tour khởi hành từ tây ninh,Di chuyển Tây Ninh,Di chuyển,In-scope Tây Ninh,Commercial Investigation,50,N/A,N/A,N/A,Planner (Thấp),data/google_planner/tay-ninh/Keyword Stats 2026-02-23 at 11_15_05.csv,Viết bài top-list/so sánh; map vào cluster hub; bổ sung schema + ảnh/UGC,B,50.0,0%,0
