keyword,cluster,cluster_type,geo_scope,intent,vol,imp,clicks,ctr,kd_comp,source,action_plan,group,score,yoy,bid_high
bãi xép,Bãi Xép,Địa danh tham quan / Văn hóa - Lịch sử,In-scope Phú Yên,Informational,27100,N/A,N/A,N/A,Low (0),data/seo_insider/advance_search_report.csv,Viết guide/review; ưu tiên long-tail; tạo topic hub và internal link về trang dịch vụ,B,27100.0,N/A,N/A
du lịch bình định phú yên,Bình Định Trip,Tổng hợp,Out-of-scope Bình Định,Informational,50,N/A,N/A,N/A,Planner (Thấp),data/google_planner/phu-yen/Keyword Stats 2026-02-23 at 00_19_49.csv,Viết guide/review; ưu tiên long-tail; tạo topic hub và internal link về trang dịch vụ,B,2750.0000000000005,0%,"4,234"
du lịch phú yên bình định,Bình Định Trip,Tổng hợp,Out-of-scope Bình Định,Informational,50,N/A,N/A,N/A,Planner (Trung bình),data/google_planner/phu-yen/Keyword Stats 2026-02-23 at 00_19_49.csv,Viết guide/review; ưu tiên long-tail; tạo topic hub và internal link về trang dịch vụ,B,2750.0000000000005,0%,"4,014"
tour bình định phú yên 4 ngày 3 đêm,Bình Định Trip,Di chuyển,Out-of-scope Bình Định,Transaction,50,N/A,N/A,N/A,Planner (Thấp),data/google_planner/phu-yen/Keyword Stats 2026-02-23 at 00_19_49.csv,"Tạo landing chuyển đổi (giá/vé/đặt chỗ), gom vào cluster page + build backlink nội bộ",B,2750.0000000000005,0%,"10,849"
tour bình định phú yên,Bình Định Trip,Di chuyển,Out-of-scope Bình Định,Commercial Investigation,50,N/A,N/A,N/A,Planner (Thấp),data/google_planner/phu-yen/Keyword Stats 2026-02-23 at 00_19_49.csv,Viết bài top-list/so sánh; map vào cluster hub; bổ sung schema + ảnh/UGC,B,2750.0000000000005,0%,"10,835"
tour bình định phú yên 3 ngày 2 đêm,Bình Định Trip,Di chuyển,Out-of-scope Bình Định,Transaction,50,N/A,N/A,N/A,Planner (Trung bình),data/google_planner/phu-yen/Keyword Stats 2026-02-23 at 00_19_49.csv,"Tạo landing chuyển đổi (giá/vé/đặt chỗ), gom vào cluster page + build backlink nội bộ",B,2500.0,0%,0
du lịch phú yên bình định bằng xe lửa,Bình Định Trip,Di chuyển,Out-of-scope Bình Định,Commercial Investigation,50,N/A,N/A,N/A,Planner (Không xác định),data/google_planner/phu-yen/Keyword Stats 2026-02-23 at 00_19_49.csv,Viết bài top-list/so sánh; map vào cluster hub; bổ sung schema + ảnh/UGC,B,2500.0,-100.0%,0
kinh nghiệm du lịch bình định phú yên,Bình Định Trip,Tổng hợp,Out-of-scope Bình Định,Commercial Investigation,50,N/A,N/A,N/A,Planner (Không xác định),data/google_planner/phu-yen/Keyword Stats 2026-02-23 at 00_19_49.csv,Viết bài top-list/so sánh; map vào cluster hub; bổ sung schema + ảnh/UGC,B,2500.0,-100.0%,0
tour bình định phú yên vietravel,Bình Định Trip,Di chuyển,Out-of-scope Bình Định,Commercial Investigation,50,N/A,N/A,N/A,Planner (Trung bình),data/google_planner/phu-yen/Keyword Stats 2026-02-23 at 00_19_49.csv,Viết bài top-list/so sánh; map vào cluster hub; bổ sung schema + ảnh/UGC,B,2500.0,0%,0
tour du lịch bình định phú yên,Bình Định Trip,Di chuyển,Out-of-scope Bình Định,Commercial Investigation,50,N/A,N/A,N/A,Planner (Trung bình),data/google_planner/phu-yen/Keyword Stats 2026-02-23 at 00_19_49.csv,Viết bài top-list/so sánh; map vào cluster hub; bổ sung schema + ảnh/UGC,B,2500.0,0%,0
tour du lịch phú yên bình định,Bình Định Trip,Di chuyển,Out-of-scope Bình Định,Commercial Investigation,50,N/A,N/A,N/A,Planner (Cao),data/google_planner/phu-yen/Keyword Stats 2026-02-23 at 00_19_49.csv,Viết bài top-list/so sánh; map vào cluster hub; bổ sung schema + ảnh/UGC,B,2500.0,0%,0
du lịch bình định phú yên tự túc,Bình Định Trip,Tổng hợp,Out-of-scope Bình Định,Informational,50,N/A,N/A,N/A,Planner (Không xác định),data/google_planner/phu-yen/Keyword Stats 2026-02-23 at 00_19_49.csv,Viết guide/review; ưu tiên long-tail; tạo topic hub và internal link về trang dịch vụ,B,2500.0,-100.0%,0
du lịch phú yên bình định tự túc,Bình Định Trip,Tổng hợp,Out-of-scope Bình Định,Informational,50,N/A,N/A,N/A,Planner (Thấp),data/google_planner/phu-yen/Keyword Stats 2026-02-23 at 00_19_49.csv,Viết guide/review; ưu tiên long-tail; tạo topic hub và internal link về trang dịch vụ,B,2500.0,0%,0
tua du lịch phú yên bình định,Bình Định Trip,Tổng hợp,Out-of-scope Bình Định,Informational,50,N/A,N/A,N/A,Planner (Không xác định),data/google_planner/phu-yen/Keyword Stats 2026-02-23 at 00_19_49.csv,Viết guide/review; ưu tiên long-tail; tạo topic hub và internal link về trang dịch vụ,B,2500.0,-100.0%,0
khu du lịch vân hoà phú yên,Cao nguyên Vân Hòa,Địa danh tham quan / Văn hóa - Lịch sử,In-scope Phú Yên,Informational,50,N/A,N/A,N/A,Planner (Thấp),data/google_planner/phu-yen/Keyword Stats 2026-02-23 at 00_19_49.csv,Viết guide/review; ưu tiên long-tail; tạo topic hub và internal link về trang dịch vụ,B,2500.0,0%,0
