keyword,cluster,cluster_type,geo_scope,intent,vol,imp,clicks,ctr,kd_comp,source,action_plan,group,score,yoy,bid_high
cầu mây tam đảo,Cầu Mây Tam Đảo,Địa danh tham quan / Văn hóa - Lịch sử,In-scope Tam Đảo,Informational,14800,N/A,N/A,N/A,Low (0),data/seo_insider/advance_search_report.csv,Viết guide/review; ưu tiên long-tail; tạo topic hub và internal link về trang dịch vụ,B,14800.0,N/A,N/A
xe taxi đi tam đảo,Di chuyển Tam Đảo,Di chuyển,In-scope Tam Đảo,Transaction,150,N/A,N/A,N/A,N/A (web),web (tam-dao.csv),"Tạo landing chuyển đổi (giá/vé/đặt chỗ), gom vào cluster page + build backlink nội bộ",B,5.0,N/A,N/A
thuê xe máy tam đảo,Di chuyển Tam Đảo,Di chuyển,In-scope Tam Đảo,Transaction,300,N/A,N/A,N/A,N/A (web),web (tam-dao.csv),"Tạo landing chuyển đổi (giá/vé/đặt chỗ), gom vào cluster page + build backlink nội bộ",B,5.0,N/A,N/A
đặt vé xe đi tam đảo,Di chuyển Tam Đảo,Di chuyển,In-scope Tam Đảo,Transaction,150,N/A,N/A,N/A,N/A (web),web (tam-dao.csv),"Tạo landing chuyển đổi (giá/vé/đặt chỗ), gom vào cluster page + build backlink nội bộ",B,5.0,N/A,N/A
vé xe giường nằm đi tam đảo,Di chuyển Tam Đảo,Di chuyển,In-scope Tam Đảo,Transaction,100,N/A,N/A,N/A,N/A (web),web (tam-dao.csv),"Tạo landing chuyển đổi (giá/vé/đặt chỗ), gom vào cluster page + build backlink nội bộ",B,5.0,N/A,N/A
đặt vé xe limosine tam đảo,Di chuyển Tam Đảo,Di chuyển,In-scope Tam Đảo,Transaction,150,N/A,N/A,N/A,N/A (web),web (tam-dao.csv),"Tạo landing chuyển đổi (giá/vé/đặt chỗ), gom vào cluster page + build backlink nội bộ",B,5.0,N/A,N/A
kinh nghiệm đi phượt xe máy tam đảo,Di chuyển Tam Đảo,Di chuyển,In-scope Tam Đảo,Commercial Investigation,200,N/A,N/A,N/A,N/A (web),web (tam-dao.csv),Viết bài top-list/so sánh; map vào cluster hub; bổ sung schema + ảnh/UGC,B,5.0,N/A,N/A
địa điểm phượt tam đảo bằng xe máy,Di chuyển Tam Đảo,Di chuyển,In-scope Tam Đảo,Commercial Investigation,200,N/A,N/A,N/A,N/A (web),web (tam-dao.csv),Viết bài top-list/so sánh; map vào cluster hub; bổ sung schema + ảnh/UGC,B,5.0,N/A,N/A
90s homestay tam đảo,Homestay Tam Đảo,Lưu trú,In-scope Tam Đảo,Transaction,N/A,9221,126,1.37%,N/A (N/A),data/google_search_console/Queries.csv,"Tối ưu landing (CTA/giá/FAQ), cải thiện snippet để tăng CTR; internal link từ hub 'Tam Đảo'",A,126.0,N/A,N/A
homestay tam đảo,Homestay Tam Đảo,Lưu trú,In-scope Tam Đảo,Transaction,N/A,6042,111,1.84%,N/A (N/A),data/google_search_console/Queries.csv,"Tối ưu landing (CTA/giá/FAQ), cải thiện snippet để tăng CTR; internal link từ hub 'Tam Đảo'",A,111.0,N/A,N/A
the pure homestay tam đảo,Homestay Tam Đảo,Lưu trú,In-scope Tam Đảo,Transaction,N/A,555,94,16.94%,N/A (N/A),data/google_search_console/Queries.csv,"Tối ưu landing (CTA/giá/FAQ), cải thiện snippet để tăng CTR; internal link từ hub 'Tam Đảo'",A,94.0,N/A,N/A
eo gió homestay tam đảo,Homestay Tam Đảo,Lưu trú,In-scope Tam Đảo,Transaction,N/A,1213,50,4.12%,N/A (N/A),data/google_search_console/Queries.csv,"Tối ưu landing (CTA/giá/FAQ), cải thiện snippet để tăng CTR; internal link từ hub 'Tam Đảo'",A,50.0,N/A,N/A
tam đảo xanh homestay,Homestay Tam Đảo,Lưu trú,In-scope Tam Đảo,Transaction,N/A,1037,34,3.28%,N/A (N/A),data/google_search_console/Queries.csv,"Tối ưu landing (CTA/giá/FAQ), cải thiện snippet để tăng CTR; internal link từ hub 'Tam Đảo'",A,34.0,N/A,N/A
homestay tam đảo có bể bơi,Homestay Tam Đảo,Lưu trú,In-scope Tam Đảo,Transaction,N/A,488,30,6.15%,N/A (N/A),data/google_search_console/Queries.csv,"Tối ưu landing (CTA/giá/FAQ), cải thiện snippet để tăng CTR; internal link từ hub 'Tam Đảo'",A,30.0,N/A,N/A
kumo chan homestay tam đảo,Homestay Tam Đảo,Lưu trú,In-scope Tam Đảo,Transaction,N/A,941,21,2.23%,N/A (N/A),data/google_search_console/Queries.csv,"Tối ưu landing (CTA/giá/FAQ), cải thiện snippet để tăng CTR; internal link từ hub 'Tam Đảo'",A,21.0,N/A,N/A
