Date,Clicks,Impressions,CTR,Position
2025-02-08,513,34694,1.48%,17.9
2025-02-09,460,33746,1.36%,16.6
2025-02-10,550,46958,1.17%,20.2
2025-02-11,558,33038,1.69%,16.1
2025-02-12,556,33220,1.67%,15.8
2025-02-13,543,31871,1.7%,16.4
2025-02-14,499,30951,1.61%,15.8
2025-02-15,493,30438,1.62%,16.5
2025-02-16,491,30187,1.63%,17.2
2025-02-17,556,44793,1.24%,22.6
2025-02-18,548,34422,1.59%,20.3
2025-02-19,514,30956,1.66%,17.4
2025-02-20,545,31439,1.73%,17.5
2025-02-21,482,32746,1.47%,18.7
2025-02-22,416,27627,1.51%,17.2
2025-02-23,419,26983,1.55%,17.5
2025-02-24,937,45245,2.07%,22
2025-02-25,608,31376,1.94%,17.9
2025-02-26,444,28396,1.56%,17.7
2025-02-27,470,31015,1.52%,17.9
2025-02-28,411,32280,1.27%,18.7
2025-03-01,443,29275,1.51%,18.6
2025-03-02,432,30987,1.39%,19.4
2025-03-03,462,44851,1.03%,22.7
2025-03-04,477,30868,1.55%,18
2025-03-05,416,31959,1.3%,19.4
2025-03-06,391,30883,1.27%,19.4
2025-03-07,393,43995,0.89%,31.9
2025-03-08,368,40971,0.9%,31.1
2025-03-09,395,29665,1.33%,21.1
2025-03-10,474,44648,1.06%,23.6
2025-03-11,474,32053,1.48%,18.8
2025-03-12,496,31491,1.58%,16.8
2025-03-13,512,32735,1.56%,17.1
2025-03-14,456,29843,1.53%,17.4
2025-03-15,387,26930,1.44%,18.8
2025-03-16,376,25351,1.48%,18
2025-03-17,450,36233,1.24%,25.3
2025-03-18,414,41218,1%,24.3
2025-03-19,418,29622,1.41%,17.8
2025-03-20,438,29815,1.47%,19.7
2025-03-21,385,28167,1.37%,19.3
2025-03-22,345,26676,1.29%,19.1
2025-03-23,379,28076,1.35%,19.4
2025-03-24,450,28825,1.56%,17.3
2025-03-25,447,33279,1.34%,19.4
2025-03-26,479,29973,1.6%,17.9
2025-03-27,468,32044,1.46%,18.6
2025-03-28,448,31125,1.44%,19.1
2025-03-29,462,29311,1.58%,18.9
2025-03-30,457,29982,1.52%,18.6
2025-03-31,509,37915,1.34%,20
2025-04-01,507,32739,1.55%,16.7
2025-04-02,544,34692,1.57%,16.5
2025-04-03,592,34913,1.7%,15
2025-04-04,562,36843,1.53%,16
2025-04-05,642,38649,1.66%,15
2025-04-06,612,36911,1.66%,15.7
2025-04-07,523,38619,1.35%,18.2
2025-04-08,579,36397,1.59%,15.7
2025-04-09,540,36692,1.47%,16.4
2025-04-10,598,36072,1.66%,15
2025-04-11,570,34124,1.67%,14.2
2025-04-12,528,36028,1.47%,16.5
2025-04-13,554,38169,1.45%,16.9
2025-04-14,621,56130,1.11%,20.5
2025-04-15,646,41202,1.57%,15.2
2025-04-16,700,43371,1.61%,15.3
2025-04-17,591,43004,1.37%,15
2025-04-18,606,43697,1.39%,16.4
2025-04-19,573,42177,1.36%,17.4
2025-04-20,645,45717,1.41%,17.1
2025-04-21,776,51253,1.51%,17.7
2025-04-22,756,46916,1.61%,15.7
2025-04-23,756,48668,1.55%,15.3
2025-04-24,740,51786,1.43%,16.8
2025-04-25,630,51253,1.23%,16.3
2025-04-26,629,44069,1.43%,15.8
2025-04-27,685,48594,1.41%,16.9
2025-04-28,836,58973,1.42%,17.4
2025-04-29,912,57362,1.59%,15.8
2025-04-30,1051,55430,1.9%,13.6
2025-05-01,931,55936,1.66%,15.6
2025-05-02,772,48350,1.6%,15.4
2025-05-03,536,44857,1.19%,18.7
2025-05-04,531,45585,1.16%,19.8
2025-05-05,656,50595,1.3%,20.1
2025-05-06,596,48148,1.24%,19.2
2025-05-07,617,45212,1.36%,18
2025-05-08,604,45861,1.32%,17.9
2025-05-09,592,43617,1.36%,17.9
2025-05-10,449,37630,1.19%,17.8
2025-05-11,522,42139,1.24%,18.2
2025-05-12,590,41586,1.42%,17.4
2025-05-13,589,55123,1.07%,21.3
2025-05-14,592,44719,1.32%,17.4
2025-05-15,623,44344,1.4%,18
2025-05-16,564,43206,1.31%,18.8
2025-05-17,476,41109,1.16%,18
2025-05-18,561,45973,1.22%,19.9
2025-05-19,618,53973,1.15%,20.5
2025-05-20,681,47382,1.44%,19.4
2025-05-21,602,44247,1.36%,17.8
2025-05-22,634,47188,1.34%,18.6
2025-05-23,543,43275,1.25%,18.1
2025-05-24,512,41523,1.23%,17.4
2025-05-25,534,43960,1.21%,18.2
2025-05-26,576,58687,0.98%,21.9
2025-05-27,519,37085,1.4%,17.9
2025-05-28,514,38101,1.35%,18.1
2025-05-29,493,39831,1.24%,21.1
2025-05-30,467,35356,1.32%,20.1
2025-05-31,482,33693,1.43%,20.5
2025-06-01,466,35412,1.32%,20.9
2025-06-02,525,45757,1.15%,22.6
2025-06-03,569,36943,1.54%,18.5
2025-06-04,562,40185,1.4%,19.4
2025-06-05,642,40893,1.57%,18.5
2025-06-06,600,38736,1.55%,16.7
2025-06-07,487,35548,1.37%,17
2025-06-08,555,36915,1.5%,18.8
2025-06-09,631,40005,1.58%,18.6
2025-06-10,552,49565,1.11%,22.5
2025-06-11,587,36637,1.6%,18
2025-06-12,601,36972,1.63%,17.9
2025-06-13,516,37960,1.36%,17.9
2025-06-14,475,37745,1.26%,19.2
2025-06-15,479,37948,1.26%,20.1
2025-06-16,566,49086,1.15%,21.7
2025-06-17,576,41577,1.39%,19.3
2025-06-18,597,45184,1.32%,19.8
2025-06-19,645,44762,1.44%,18.9
2025-06-20,622,43383,1.43%,18.2
2025-06-21,524,39801,1.32%,18.6
2025-06-22,577,38929,1.48%,18.8
2025-06-23,672,50879,1.32%,21.2
2025-06-24,625,38313,1.63%,16.7
2025-06-25,657,39861,1.65%,16.2
2025-06-26,607,39418,1.54%,15.9
2025-06-27,643,41190,1.56%,16.7
2025-06-28,564,41456,1.36%,17.9
2025-06-29,538,41000,1.31%,18.2
2025-06-30,581,43483,1.34%,18.6
2025-07-01,616,48828,1.26%,18.5
2025-07-02,584,46860,1.25%,17.2
2025-07-03,661,50501,1.31%,16.4
2025-07-04,683,52191,1.31%,15.5
2025-07-05,651,48331,1.35%,16
2025-07-06,655,48397,1.35%,16.7
2025-07-07,813,50828,1.6%,15
2025-07-08,830,75163,1.1%,19.1
2025-07-09,840,62769,1.34%,15.7
2025-07-10,878,62922,1.4%,14.7
2025-07-11,892,66245,1.35%,14.9
2025-07-12,788,62999,1.25%,15.1
2025-07-13,886,59911,1.48%,15.2
2025-07-14,895,61364,1.46%,15
2025-07-15,860,67398,1.28%,16.5
2025-07-16,829,59545,1.39%,14.4
2025-07-17,814,62339,1.31%,14.6
2025-07-18,815,67173,1.21%,14.7
2025-07-19,604,58717,1.03%,15.8
2025-07-20,496,53270,0.93%,17
2025-07-21,544,62230,0.87%,18.9
2025-07-22,622,53175,1.17%,16.8
2025-07-23,655,55490,1.18%,15.4
2025-07-24,693,63367,1.09%,17.4
2025-07-25,669,59774,1.12%,15.3
2025-07-26,560,52979,1.06%,14.9
2025-07-27,614,54715,1.12%,15.1
2025-07-28,746,67622,1.1%,17.7
2025-07-29,766,57527,1.33%,15.9
2025-07-30,728,54834,1.33%,15.1
2025-07-31,627,55868,1.12%,15.3
2025-08-01,649,59932,1.08%,14.3
2025-08-02,619,55733,1.11%,14.4
2025-08-03,667,57357,1.16%,14.9
2025-08-04,797,61897,1.29%,15.2
2025-08-05,718,76649,0.94%,18.3
2025-08-06,698,60843,1.15%,14.4
2025-08-07,747,65132,1.15%,15.3
2025-08-08,814,68520,1.19%,15.1
2025-08-09,633,62323,1.02%,15.1
2025-08-10,649,58151,1.12%,15.9
2025-08-11,724,75840,0.95%,18.2
2025-08-12,743,63029,1.18%,15.5
2025-08-13,712,62040,1.15%,15.1
2025-08-14,710,62834,1.13%,16.3
2025-08-15,613,61499,1%,15.5
2025-08-16,567,56501,1%,16.1
2025-08-17,534,56138,0.95%,17.1
2025-08-18,566,73718,0.77%,19.5
2025-08-19,614,58574,1.05%,15.8
2025-08-20,627,59039,1.06%,15.4
2025-08-21,641,59684,1.07%,16.1
2025-08-22,547,61896,0.88%,16.7
2025-08-23,505,66668,0.76%,19.5
2025-08-24,449,55679,0.81%,16.1
2025-08-25,497,63881,0.78%,18.5
2025-08-26,513,55343,0.93%,16.3
2025-08-27,562,57251,0.98%,16.6
2025-08-28,605,61654,0.98%,16.3
2025-08-29,575,60632,0.95%,15.1
2025-08-30,592,66448,0.89%,15.8
2025-08-31,653,69590,0.94%,15.5
2025-09-01,479,76644,0.62%,19.7
2025-09-02,426,50976,0.84%,16.3
2025-09-03,506,53018,0.95%,16.3
2025-09-04,420,57576,0.73%,19
2025-09-05,423,56107,0.75%,17.8
2025-09-06,386,53063,0.73%,17
2025-09-07,384,53118,0.72%,18.1
2025-09-08,463,62960,0.74%,18.8
2025-09-09,470,54149,0.87%,16.1
2025-09-10,504,51346,0.98%,15
2025-09-11,511,51566,0.99%,14.4
2025-09-12,478,45965,1.04%,11.3
2025-09-13,443,42577,1.04%,10
2025-09-14,467,40661,1.15%,10.3
2025-09-15,504,45108,1.12%,10.5
2025-09-16,520,61742,0.84%,14.4
2025-09-17,562,48202,1.17%,11.6
2025-09-18,551,50368,1.09%,10.8
2025-09-19,472,46685,1.01%,10.1
2025-09-20,423,42497,1%,10.3
2025-09-21,460,41159,1.12%,10.8
2025-09-22,466,45681,1.02%,9.9
2025-09-23,508,46701,1.09%,10.1
2025-09-24,454,45157,1.01%,10.2
2025-09-25,501,45811,1.09%,10.2
2025-09-26,448,48571,0.92%,10.9
2025-09-27,400,42395,0.94%,9.5
2025-09-28,461,43653,1.06%,10.2
2025-09-29,487,52712,0.92%,9.8
2025-09-30,480,52980,0.91%,9.5
2025-10-01,499,51734,0.96%,10
2025-10-02,431,52917,0.81%,10.2
2025-10-03,429,42127,1.02%,9.5
2025-10-04,366,38612,0.95%,9.9
2025-10-05,345,38343,0.9%,10.1
2025-10-06,440,48290,0.91%,9.6
2025-10-07,473,59707,0.79%,10.6
2025-10-08,458,50731,0.9%,10.2
2025-10-09,451,47925,0.94%,10.3
2025-10-10,436,44732,0.97%,10
2025-10-11,395,40907,0.97%,10
2025-10-12,387,41984,0.92%,10
2025-10-13,489,49119,1%,9.8
2025-10-14,542,49994,1.08%,9.6
2025-10-15,506,50706,1%,9.4
2025-10-16,568,56495,1.01%,12
2025-10-17,485,46246,1.05%,9.3
2025-10-18,375,46343,0.81%,10.1
2025-10-19,388,41748,0.93%,10.2
2025-10-20,491,45942,1.07%,9.5
2025-10-21,489,53283,0.92%,10.3
2025-10-22,522,47389,1.1%,10
2025-10-23,528,47452,1.11%,9
2025-10-24,488,41782,1.17%,9.2
2025-10-25,414,36150,1.15%,8.8
2025-10-26,418,38799,1.08%,8.8
2025-10-27,560,45289,1.24%,8.5
2025-10-28,511,45878,1.11%,8.7
2025-10-29,530,72782,0.73%,9.2
2025-10-30,532,50079,1.06%,9
2025-10-31,420,43606,0.96%,9
2025-11-01,390,55646,0.7%,8.5
2025-11-02,463,56207,0.82%,8.8
2025-11-03,452,51531,0.88%,10.2
2025-11-04,400,42454,0.94%,9
2025-11-05,431,44629,0.97%,9.3
2025-11-06,414,43512,0.95%,9.9
2025-11-07,372,42160,0.88%,9.9
2025-11-08,394,45764,0.86%,9.9
2025-11-09,409,48323,0.85%,10.2
2025-11-10,466,64868,0.72%,10.8
2025-11-11,502,50466,0.99%,9.4
2025-11-12,455,48907,0.93%,9.5
2025-11-13,507,52483,0.97%,10.1
2025-11-14,447,51303,0.87%,9.6
2025-11-15,373,51081,0.73%,11.7
2025-11-16,408,46356,0.88%,9.4
2025-11-17,444,49578,0.9%,10.7
2025-11-18,451,53735,0.84%,12.7
2025-11-19,391,41176,0.95%,10.5
2025-11-20,444,43010,1.03%,10.2
2025-11-21,353,43701,0.81%,9.7
2025-11-22,332,37095,0.89%,9.8
2025-11-23,347,38715,0.9%,10.5
2025-11-24,429,42373,1.01%,10
2025-11-25,424,46234,0.92%,10.8
2025-11-26,382,45340,0.84%,12.4
2025-11-27,427,43710,0.98%,12.7
2025-11-28,362,39706,0.91%,12.3
2025-11-29,318,41090,0.77%,11.9
2025-11-30,351,43352,0.81%,16.2
2025-12-01,420,47788,0.88%,11.3
2025-12-02,465,43888,1.06%,10.4
2025-12-03,454,44187,1.03%,10
2025-12-04,459,50025,0.92%,10.3
2025-12-05,418,46056,0.91%,10.5
2025-12-06,382,49367,0.77%,10.9
2025-12-07,424,48907,0.87%,12.2
2025-12-08,474,56274,0.84%,11.7
2025-12-09,493,54612,0.9%,9.8
2025-12-10,466,58555,0.8%,10.4
2025-12-11,514,54871,0.94%,9.1
2025-12-12,437,51907,0.84%,9.9
2025-12-13,358,50576,0.71%,10.9
2025-12-14,351,46176,0.76%,11.7
2025-12-15,439,50781,0.86%,11.1
2025-12-16,425,47830,0.89%,10.4
2025-12-17,415,45738,0.91%,10.3
2025-12-18,346,44597,0.78%,10.8
2025-12-19,403,44895,0.9%,11.1
2025-12-20,369,45833,0.81%,11
2025-12-21,370,44930,0.82%,12
2025-12-22,436,53038,0.82%,13.3
2025-12-23,463,50120,0.92%,10.4
2025-12-24,411,50047,0.82%,10.3
2025-12-25,455,46073,0.99%,9.7
2025-12-26,423,45908,0.92%,10.5
2025-12-27,367,45663,0.8%,10.4
2025-12-28,431,43592,0.99%,11.6
2025-12-29,454,49760,0.91%,11.4
2025-12-30,446,43225,1.03%,10
2025-12-31,383,39294,0.97%,10
2026-01-01,409,36425,1.12%,11
2026-01-02,322,32751,0.98%,11.6
2026-01-03,213,29450,0.72%,12.8
2026-01-04,232,27385,0.85%,14
2026-01-05,250,35874,0.7%,18.9
2026-01-06,235,28036,0.84%,13.5
2026-01-07,214,28857,0.74%,15.7
2026-01-08,250,30470,0.82%,14.6
2026-01-09,242,34351,0.7%,14.7
2026-01-10,249,38449,0.65%,13.5
2026-01-11,320,40618,0.79%,14.5
2026-01-12,370,47115,0.79%,12
2026-01-13,368,43716,0.84%,11.3
2026-01-14,333,43171,0.77%,10.8
2026-01-15,325,43609,0.75%,10.4
2026-01-16,291,40830,0.71%,11.4
2026-01-17,300,48087,0.62%,13.4
2026-01-18,293,41724,0.7%,12.9
2026-01-19,350,43553,0.8%,9.9
2026-01-20,321,46699,0.69%,10.3
2026-01-21,370,41109,0.9%,10.5
2026-01-22,318,44976,0.71%,14.1
2026-01-23,259,36039,0.72%,11.3
2026-01-24,238,38090,0.62%,11.8
2026-01-25,305,37381,0.82%,13.1
2026-01-26,318,42366,0.75%,11.4
2026-01-27,297,41956,0.71%,10.6
2026-01-28,307,38022,0.81%,10.8
2026-01-29,277,37637,0.74%,10.8
2026-01-30,249,35755,0.7%,12.1
2026-01-31,257,39638,0.65%,12.7
2026-02-01,263,37458,0.7%,13.1
2026-02-02,295,46039,0.64%,14.2
2026-02-03,344,43520,0.79%,9.3
2026-02-04,334,39528,0.84%,10.9
2026-02-05,273,38742,0.7%,11.4
2026-02-06,269,37170,0.72%,12.6
2026-02-07,251,40556,0.62%,11.8
